id;view;coord0;coord1;coord2;coord3;coord4;coord5;coord6;coord7;coord8;coord9;coord10;coord11;coord12;coord13;coord14;coord15;coord16;coord17
ACC0027;V;-54.98300557;-15.46892527;32.68720978;6.906831398;-13.44321283;-13.32796965;30.1816362;-2.678297999;3.357517246;-16.06793313;-2.777616491;15.50600933;14.54994788;-6.46496706;-0.439308632;1.33695669;5.669940536;0.78857424
ACC0028;D;-19.89570858;-16.46271502;-6.770008294;-4.3964877;-2.437912225;9.045676671;2.540154799;3.713864925;7.178143095;4.205343482;-1.559071243;-1.887778948;6.896890531;6.996513439;-2.192149805;-4.62320076;-3.86847076;2.30034628
ACC0028;V;-18.93721349;-17.22305506;22.74935115;-21.11062424;7.026882121;3.341229812;18.27397522;-0.480500774;1.930935019;0.921449239;-5.324309065;4.059122883;10.55521462;-2.280738384;-1.622484175;-1.969637077;-7.349836486;3.002517058
ACC0031;D;-37.31272928;-14.55201581;4.068568748;-11.97542267;-7.562690043;4.496118437;5.933826132;4.970113607;0.172703668;3.634135828;-7.537882955;3.849813971;1.147222985;0.294839524;4.846724469;-5.306135331;-5.44518597;3.493780703
ACC0031;V;-37.12526003;-18.45973647;25.07754062;-24.82369886;-3.549045342;2.411059388;16.9456795;1.109660282;-1.528236567;2.226886849;-7.047211321;9.074172176;10.4036872;-3.389906391;6.222433606;-0.283890774;-4.52845525;7.391604594
ACC0036;D;-25.76327152;0.994097447;-5.862390931;8.984543607;-8.448138125;10.2330714;-6.217886605;-5.390915445;-0.761394162;-2.802724532;-1.541827191;-1.548680313;-2.974983787;3.109828914;-0.661324648;1.08795831;-3.781389833;-3.301647193
ACC0036;V;-27.4897577;0.787156588;6.383948002;-1.586801283;-3.723789671;1.494753432;-6.886080038;-4.00550299;-0.540824422;0.21745333;-1.287869741;2.946285775;-2.078570938;-0.283206337;3.69022226;-3.763157368;-2.347940796;-0.490786171
ACC0037;D;-41.20638228;-6.463138209;0.866791265;14.47300833;-20.79002865;5.927257213;-3.944678986;-2.002492393;1.166401741;-11.67307229;0.635035165;0.133553304;-0.141586285;0.49371574;-4.960765192;-1.535254304;5.382757805;-5.310746728
ACC0037;V;-40.58528419;-8.483074507;12.59981619;0.781237346;-12.30405842;4.446917293;4.536312338;-2.483053377;-1.495751432;-9.34329262;-0.304108286;0.980839272;5.948233479;1.135732215;-0.855466296;2.180602968;2.437978501;-2.908789066
ACC0048;D;-23.53651852;-11.95950609;-2.835700479;-6.913435792;-3.789727258;6.696847413;-2.839786897;2.998943915;4.195416657;2.971773161;-2.346724055;3.339052234;-2.4997864;1.031117846;2.685228047;-3.218490842;-4.898105321;3.345823269
