num;id;box;genus;Subgenus;sp;ssp;loc;sex;Hauteur_platine;form;Note
308;EL72665;B0004539;Papilio;Menelaides;gambrisius ;gambrisius ;Indonésie;M;60;;
309;EL72666;B0004539;Papilio;Menelaides;gambrisius ;gambrisius ;Indonésie (Amboine);M;60;;
310;EL72667;B0004539;Papilio;Menelaides;gambrisius ;gambrisius ;Indonésie (Amboine);M;60;;
311;EL72668;B0004539;Papilio;Menelaides;gambrisius ;gambrisius ;Indonésie (Amboine);F;60;;
312;EL72669;B0004540;Papilio;Menelaides;bridgei;bridgei;Îles Salomon (Bougainville);M;60;;
313;EL72670;B0004540;Papilio;Menelaides;bridgei;bridgei;Îles Salomon (Shortland);M;60;;
314;EL72671;B0004540;Papilio;Menelaides;bridgei;bridgei;Îles Salomon;M;60;;
315;EL72672;B0004540;Papilio;Menelaides;bridgei;bridgei;Îles Salomon (Shortland);F;60;;
316;EL72673;B0004540;Papilio;Menelaides;bridgei;gorei;Îles Salomon (Shortland);F;60;;
317;EL72674;B0004541;Papilio;Menelaides;bridgei;ortegae;Îles Salomon (Bougainville);M;60;;
318;EL72675;B0004541;Papilio;Menelaides;bridgei;ortegae;Îles Salomon;F;60;;
319;EL72676;B0004541;Papilio;Menelaides;bridgei;prospero;Îles Salomon;M;60;;
320;EL72677;B0004541;Papilio;Menelaides;bridgei;prospero;Îles Salomon;F;60;;
321;EL72678;B0004541;Papilio;Menelaides;bridgei;hecataeus;Nouvelle-Guinée;F;60;;
322;EL72679;B0004542;Papilio;Menelaides;tydeus;tydeus;Indonésie (Moluques);M;60;;
323;EL72680;B0004542;Papilio;Menelaides;tydeus;tydeus;Indonésie (Moluques);M;60;;
324;EL72681;B0004542;Papilio;Menelaides;tydeus;tydeus;Indonésie (Moluques);M;60;;
325;EL72682;B0004542;Papilio;Menelaides;tydeus;tydeus;Indonésie (Célèbes);M;60;;
326;EL72683;B0004542;Papilio;Menelaides;tydeus;tydeus;Indonésie (Célèbes);M;60;;
327;EL72684;B0004542;Papilio;Menelaides;tydeus;tydeus;Indonésie (Célèbes);F;60;;
328;EL72685;B0004542;Papilio;Menelaides;tydeus;tydeus;Indonésie (Moluques);F;60;;
329;EL72686;B0004542;Papilio;Menelaides;tydeus;tydeus;Indonésie (Moluques);F;60;;
330;EL72687;B0004543;Papilio;Menelaides;hipponous;lunifer;Indonésie (Célèbes);F;60;;
331;EL72688;B0004543;Papilio;Menelaides;hipponous;lunifer;Indonésie (Célèbes);M;60;;
332;EL72689;B0004543;Papilio;Menelaides;hipponous;lunifer;Indonésie (Célèbes);M;60;;
333;EL72690;B0004543;Papilio;Menelaides;pitmani;-;Thaïlande;M;60;;
334;EL72691;B0004543;Papilio;Menelaides;pitmani;-;Thaïlande;M;60;;
335;EL72692;B0004543;Papilio;Menelaides;pitmani;-;Thaïlande;M;60;;
336;EL72693;B0004543;Papilio;Menelaides;pitmani;-;Thaïlande;M;60;;
337;EL72694;B0004544;Papilio;Menelaides;albinus;albinus;Îles Salomon;M;60;;
338;EL72695;B0004544;Papilio;Menelaides;albinus;albinus;Nouvelle-Guinée;M;60;;
339;EL72696;B0004544;Papilio;Menelaides;albinus;albinus;Nouvelle-Guinée;M;60;;
340;EL72697;B0004545;Papilio;Menelaides;helenus;helenus;Jordanie;M;60;;
341;EL72698;B0004545;Papilio;Menelaides;helenus;helenus;Inde;M;60;;
342;EL72699;B0004545;Papilio;Menelaides;helenus;helenus;Malaisie;M;60;;
343;EL72700;B0004545;Papilio;Menelaides;helenus;helenus;Laos;M;60;;
344;EL72701;B0004545;Papilio;Menelaides;helenus;helenus;Inde;M;60;;
345;EL72702;B0004546;Papilio;Menelaides;helenus;helenus;Chine;F;60;;
346;EL72703;B0004546;Papilio;Menelaides;helenus;helenus;Chine;F;60;;
347;EL72704;B0004546;Papilio;Menelaides;helenus;helenus;Malaisie;F;60;;
348;EL72705;B0004546;Papilio;Menelaides;helenus;helenus;Chine;F;60;;
349;EL72706;B0004546;Papilio;Menelaides;helenus;helenus;Malaisie;F;60;;
350;EL72707;B0004547;Papilio;Menelaides;enganius;enganius;Indonésie (Java);M;60;;
351;EL72708;B0004547;Papilio;Menelaides;enganius;enganius;Indonésie (Java);M;60;;
352;EL72709;B0004547;Papilio;Menelaides;enganius;enganius;Indonésie (Java);M;60;;
353;EL72710;B0004547;Papilio;Menelaides;enganius;enganius;Indonésie (Bornéo);M;60;;
354;EL72711;B0004547;Papilio;Menelaides;enganius;enganius;Indonésie (Java);M;60;;
355;EL72712;B0004548;Papilio;Menelaides;enganius;enganius;Indonésie (Java);F;60;;
356;EL72713;B0004548;Papilio;Menelaides;enganius;enganius;Indonésie (Sumatra);F;60;;
357;EL72714;B0004548;Papilio;Menelaides;enganius;enganius;Indonésie (Java);F;60;;
358;EL72715;B0004548;Papilio;Menelaides;enganius;enganius;Indonésie (Bornéo);F;60;;
359;EL72716;B0004548;Papilio;Menelaides;enganius;enganius;Indonésie (Bornéo);F;60;;
360;EL72717;B0004549;Papilio;Menelaides;ambrax;ambrax;Nouvelle-Guinée;M;60;;
361;EL72718;B0004549;Papilio;Menelaides;ambrax;ambrax;Nouvelle-Guinée;M;60;;
362;EL72719;B0004549;Papilio;Menelaides;ambrax;ambrax;Nouvelle-Guinée;M;60;;
363;EL72720;B0004549;Papilio;Menelaides;ambrax;ambrax;Nouvelle-Guinée;M;60;;
364;EL72721;EL-B4558;Papilio;Menelaides;ambrax;ambrax;Papouasie;M;60;;
365;EL72722;EL-B4558;Papilio;Menelaides;ambrax;ambrax;Papouasie-Nouvelle-Guinée;F;60;;
366;EL72723;EL-B4558;Papilio;Menelaides;ambrax;ambrax;Nouvelle-Guinée;F;60;;
367;EL72724;EL-B4558;Papilio;Menelaides;ambrax;ambrax;Nouvelle-Guinée;F;60;ambracia;
368;EL72725;EL-B4558;Papilio;Menelaides;ambrax;ambrax;Nouvelle-Guinée;F;60;ambracia;
369;EL72726;EL-B4558;Papilio;Menelaides;ambrax;ambrax;Nouvelle-Guinée;F;60;nova;
370;EL72727;EL-B4559;Papilio;Menelaides;amynthor;amynthor;Nouvelle-Calédonie (Ile Loyauté);M;60;;
371;EL72728;EL-B4559;Papilio;Menelaides;amynthor;amynthor;Nouvelle-Calédonie (Ile Grande-Terre);M;60;;
372;EL72729;EL-B4559;Papilio;Menelaides;amynthor;amynthor;Nouvelle-Calédonie (Ile Loyauté);M;60;;
373;EL72730;EL-B4559;Papilio;Menelaides;amynthor;amynthor;Nouvelle-Calédonie (Ile Loyauté);M;60;;
374;EL72731;EL-B4559;Papilio;Menelaides;amynthor;amynthor;Nouvelle-Calédonie (Ile Grande-Terre);M;60;;
375;EL72732;EL-B4559;Papilio;Menelaides;amynthor;amynthor;Nouvelle-Calédonie (Ile Loyauté);F;60;;
376;EL72733;EL-B4559;Papilio;Menelaides;amynthor;amynthor;Nouvelle-Calédonie (Ile Grande-Terre);F;60;;
377;EL72734;EL-B4559;Papilio;Menelaides;amynthor;amynthor;Nouvelle-Calédonie (Ile Grande-Terre);F;60;;
378;EL72735;EL-B4559;Papilio;Menelaides;amynthor;amynthor;Nouvelle-Calédonie (Ile Grande-Terre);F;60;;
379;EL72736;EL-B4559;Papilio;Menelaides;amynthor;amynthor;Nouvelle-Calédonie;F;60;;
380;EL72737;EL-B4560;Papilio;Menelaides;bootes;bootes;Inde;M;60;;
381;EL72738;EL-B4560;Papilio;Menelaides;bootes;bootes;Inde;M;60;;
382;EL72739;EL-B4560;Papilio;Menelaides;bootes;bootes;Inde;M;60;;
383;EL72740;EL-B4560;Papilio;Menelaides;bootes;bootes;Inde;M;60;;
384;EL72741;EL-B4560;Papilio;Menelaides;bootes;bootes;Inde;M;60;;
385;EL72742;EL-B4560;Papilio;Menelaides;bootes;bootes;Inde;F;60;;
386;EL72743;EL-B4560;Papilio;Menelaides;bootes;bootes;Inde;F;60;;
387;EL72744;EL-B4560;Papilio;Menelaides;dialis;doddsi;Chine;M;60;;2ssp échantillonées car queue/pas queue
388;EL72745;EL-B4560;Papilio;Menelaides;dialis;doddsi;Chine;M;60;;2ssp échantillonées car queue/pas queue
389;EL72746;EL-B4560;Papilio;Menelaides;dialis;andronicus;Taiwan;M;60;;2ssp échantillonées car queue/pas queue
390;EL72747;EL-B4560;Papilio;Menelaides;dialis;andronicus;Taiwan;M;60;;2ssp échantillonées car queue/pas queue
391;EL72748;EL-B4561;Papilio;Menelaides;castor;castor;Inde;M;60;;
392;EL72749;EL-B4561;Papilio;Menelaides;castor;castor;Inde;M;60;;
393;EL75500;EL-B4561;Papilio;Menelaides;castor;castor;Inde;M;60;;
394;EL75501;EL-B4561;Papilio;Menelaides;castor;castor;Inde;M;60;;
395;EL75502;EL-B4562;Papilio;Menelaides;castor;castor;Inde;M;60;;
396;EL75503;EL-B4562;Papilio;Menelaides;castor;castor;Inde;F;60;;
397;EL75504;EL-B4562;Papilio;Menelaides;castor;castor;Inde;F;60;;
398;EL75505;EL-B4562;Papilio;Menelaides;castor;castor;Inde;F;60;;
399;EL75506;EL-B4562;Papilio;Menelaides;castor;castor;Inde;F;60;;
400;EL75510;EL-B4562;Papilio;Menelaides;castor;castor;Inde;F;60;;
401;EL75507;EL-B4563;Papilio;Menelaides;demetrius;demetrius;Japon;M;60;;
402;EL75508;EL-B4563;Papilio;Menelaides;demetrius;demetrius;Japon;M;60;;
403;EL75509;EL-B4564;Papilio;Menelaides;demetrius;demetrius;Japon;M;60;;
404;EL75511;EL-B4564;Papilio;Menelaides;demetrius;demetrius;Japon;M;60;;
405;EL75512;EL-B4564;Papilio;Menelaides;demetrius;demetrius;Japon;M;60;;
406;EL75513;EL-B4564;Papilio;Menelaides;demetrius;demetrius;Japon;F;60;;
407;EL75514;EL-B4564;Papilio;Menelaides;demetrius;demetrius;Japon;F;60;;
408;EL75515;EL-B4564;Papilio;Menelaides;demetrius;demetrius;Japon;F;60;;
409;EL75516;EL-B4564;Papilio;Menelaides;demetrius;demetrius;Japon;F;60;;
410;EL75517;EL-B4564;Papilio;Menelaides;demetrius;demetrius;Japon;F;60;;
411;EL75518;EL-B4565;Papilio;Menelaides;dravidarum;-;Indes;M;60;;
412;EL75519;EL-B4565;Papilio;Menelaides;dravidarum;-;Indes;M;60;;
413;EL75520;EL-B4565;Papilio;Menelaides;dravidarum;-;Indes;M;60;;
414;EL75521;EL-B4565;Papilio;Menelaides;dravidarum;-;Indes;F;60;;
415;EL75522;EL-B4565;Papilio;Menelaides;dravidarum;-;Indes;F;60;;
416;EL75523;EL-B4566;Papilio;Menelaides;fuscus;fuscus;Indonésie (Bornéo);M;60;;
417;EL75524;EL-B4566;Papilio;Menelaides;fuscus;fuscus;Indonésie ;M;60;;
418;EL75525;EL-B4566;Papilio;Menelaides;fuscus;fuscus;Indonésie ;M;60;;
419;EL75526;EL-B4566;Papilio;Menelaides;fuscus;fuscus;Indonésie ;M;60;;
420;EL75527;EL-B4566;Papilio;Menelaides;fuscus;fuscus;Indonésie ;M;60;;
421;EL75528;EL-B4566;Papilio;Menelaides;fuscus;fuscus;Indonésie (Java);F;60;;
422;EL75529;EL-B4566;Papilio;Menelaides;fuscus;fuscus;Indonésie (Amboine);F;60;;
423;EL75530;EL-B4566;Papilio;Menelaides;fuscus;fuscus;Indonésie (Amboine);F;60;;
424;EL75531;EL-B4566;Papilio;Menelaides;fuscus;fuscus;Indonésie (Java);F;60;;
425;EL75532;EL-B4566;Papilio;Menelaides;fuscus;fuscus;Indonésie (Timor);F;60;;
426;EL75533;EL-B4567;Papilio;Menelaides;iswara;iswara;Inde;M;60;;
427;EL75534;EL-B4567;Papilio;Menelaides;iswara;iswara;NA;M;60;;
428;EL75535;EL-B4567;Papilio;Menelaides;iswara;iswara;Irak;F;60;;
429;EL75536;EL-B4567;Papilio;Menelaides;iswara;iswara;Inde;F;60;;
430;EL75537;EL-B4567;Papilio;Menelaides;iswara;iswara;NA;M;60;;
431;EL75538;EL-B4567;Papilio;Menelaides;iswara;araspes;Indonésie (Bornéo);M;60;;
432;EL75539;EL-B4567;Papilio;Menelaides;iswara;araspes;Indonésie (Bornéo);M;60;;
433;EL75540;B0004513;Papilio;Menelaides;liomedon;-;Inde;NA;60;;
434;EL75541;B0004526;Papilio;Menelaides;polymnestor;polymnestor;Inde;M;60;;
435;EL75542;B0004526;Papilio;Menelaides;polymnestor;polymnestor;Inde;M;60;;
436;EL75543;B0004526;Papilio;Menelaides;polymnestor;polymnestor;Inde;M;60;;
437;EL75544;B0004526;Papilio;Menelaides;polymnestor;polymnestor;Inde;M;60;;
438;EL75545;B0004526;Papilio;Menelaides;polymnestor;polymnestor;Inde;M;60;;
439;EL75546;EL-B4568;Papilio;Menelaides;polymnestor;polymnestor;Inde;F;60;;
440;EL75547;EL-B4568;Papilio;Menelaides;polymnestor;polymnestor;Inde;F;60;;
441;EL75548;EL-B4568;Papilio;Menelaides;polymnestor;polymnestor;Inde;F;60;;
442;EL75549;EL-B4568;Papilio;Menelaides;polymnestor;polymnestor;Inde;F;60;;
443;EL75550;EL-B4568;Papilio;Menelaides;polymnestor;polymnestor;Inde;F;60;;
444;EL75551;EL-B4569;Papilio;Eleppone;anactus;-;Australie;F;60;;
445;EL75552;EL-B4569;Papilio;Eleppone;anactus;-;Australie;M;60;;
446;EL75553;EL-B4569;Papilio;Eleppone;anactus;-;Australie;F;60;;
447;EL75554;EL-B4569;Papilio;Eleppone;anactus;-;Australie;M;60;;
448;EL75555;EL-B4570;Papilio;Achillides;polyctor;polyctor;Inde;M;60;;
449;EL75556;EL-B4570;Papilio;Achillides;polyctor;polyctor;Inde;M;60;;
450;EL75557;EL-B4570;Papilio;Achillides;polyctor;polyctor;Inde;F;60;;
451;EL75558;EL-B4570;Papilio;Achillides;polyctor;polyctor;Inde;F;60;;
452;EL75559;EL-B4571;Papilio;Achillides;bianor;bianor;Chine;M;60;;
453;EL75560;EL-B4571;Papilio;Achillides;bianor;bianor;Chine;M;60;;
454;EL75561;EL-B4571;Papilio;Achillides;bianor;bianor;Chine;F;60;;
455;EL75562;EL-B4571;Papilio;Achillides;bianor;bianor;Chine;F;60;;
456;EL75563;EL-B4572;Papilio;Achillides;dehaanii;-;Chine;F;65;;
457;EL75564;EL-B4572;Papilio;Achillides;dehaanii;-;Chine;F;65;;
458;EL75565;EL-B4572;Papilio;Achillides;dehaanii;-;Japon;M;65;;
459;EL75566;EL-B4572;Papilio;Achillides;dehaanii;-;Chine;M;65;;
460;EL75567;EL-B4573;Papilio;Achillides;paris;paris;Inde;M;60;;
461;EL75568;EL-B4573;Papilio;Achillides;paris;paris;Bouthan;M;60;;
462;EL75569;EL-B4574;Papilio;Achillides;paris;paris;Chine;F;60;;
463;EL75570;EL-B4574;Papilio;Achillides;paris;paris;Chine;F;60;;
464;EL75571;EL-B4575;Papilio;Achillides;hermosanus;-;Taiwan;M;60;;
465;EL75572;EL-B4575;Papilio;Achillides;hermosanus;-;Taiwan;M;60;;
466;EL75573;EL-B4576;Papilio;Achillides;arjuna;-;Indonésie (Java);M;60;;
467;EL75574;EL-B4576;Papilio;Achillides;arjuna;-;Indonésie (Java);M;60;;
468;EL75575;EL-B4577;Papilio;Achillides;lorquinianus;-;Indonésie (Moluques);M;60;;
469;EL75576;EL-B4577;Papilio;Achillides;lorquinianus;-;Indonésie (Moluques);M;60;;
470;EL75577;EL-B4577;Papilio;Achillides;lorquinianus;-;Indonésie (Moluques);F;60;;
471;EL75578;EL-B4577;Papilio;Achillides;lorquinianus;-;Indonésie (Moluques);F;60;;
472;EL75579;EL-B4578;Papilio;Achillides;ulysses;ulysses;Indonésie (Amboine);M;60;;
473;EL75580;EL-B4578;Papilio;Achillides;ulysses;ulysses;Indonésie ;M;60;;
474;EL75581;EL-B4578;Papilio;Achillides;ulysses;ulysses;Indonésie ;F;60;;
475;EL75582;EL-B4579;Papilio;Achillides;ulysses;ulysses;Indonésie ;F;60;;
476;EL75583;EL-B4578;Papilio;Achillides;telegonus;-;Indonésie (Amboine);M;60;;
477;EL75584;EL-B4578;Papilio;Achillides;telegonus;-;Indonésie (Moluques);M;60;;
478;EL75585;EL-B4580;Papilio;Achillides;montrouzieri;ulyssellus;Nouvelle-Calédonie;M;60;;
479;EL75586;EL-B4580;Papilio;Achillides;montrouzieri;ulyssellus;Nouvelle-Calédonie;M;60;;
480;EL75587;EL-B4580;Papilio;Achillides;montrouzieri;ulyssellus;Nouvelle-Calédonie (Ile Loyauté);F;60;;
481;EL75588;EL-B4580;Papilio;Achillides;montrouzieri;ulyssellus;Nouvelle-Calédonie (Ile Loyauté);F;60;;
482;EL75589;EL-B4581;Papilio;Achillides;arcturus;arcturus;Inde;M;60;;
483;EL75590;EL-B4581;Papilio;Achillides;arcturus;arcturus;Inde;M;60;;
484;EL75591;EL-B4581;Papilio;Achillides;arcturus;arcturus;Inde;F;60;;
485;EL75592;EL-B4581;Papilio;Achillides;arcturus;arcturus;Inde;F;60;;
486;EL75593;EL-B4582;Papilio;Achillides;blumei;blumei;Indonésie (Amboine);M;60;;
487;EL75594;EL-B4583;Papilio;Achillides;blumei;blumei;Indonésie (Célèbes);M;60;;
488;EL75595;EL-B4583;Papilio;Achillides;blumei;blumei;Indonésie (Célèbes);F;60;;
489;EL75596;EL-B4583;Papilio;Achillides;blumei;blumei;Indonésie (Amboine);F;60;;
490;EL75597;EL-B4583;Papilio;Achillides;buddha;-;Inde;M;60;;
491;EL75598;EL-B4583;Papilio;Achillides;buddha;-;Inde;M;60;;
492;EL75599;EL-B4583;Papilio;Achillides;buddha;-;Sri Lanka;F;60;;
493;EL75600;EL-B4583;Papilio;Achillides;buddha;-;Philippines (Luçon);F;60;;
494;EL75601;EL-B4584;Papilio;Achillides;crino;crino;Sri Lanka;M;60;;
495;EL75602;EL-B4584;Papilio;Achillides;crino;crino;Sri Lanka;M;60;;
496;EL75603;EL-B4584;Papilio;Achillides;crino;crino;Sri Lanka;F;60;;
497;EL75604;EL-B4584;Papilio;Achillides;crino;crino;Sri Lanka;F;60;;
498;EL75605;EL-B4584;Papilio;Achillides;krishna;krishna;Inde;M;60;;
499;EL75606;EL-B4584;Papilio;Achillides;krishna;krishna;Inde;M;60;;
500;EL75607;EL-B4582;Papilio;Achillides;daedalus;-;Philippines (Mindoro);M;60;;
501;EL75608;EL-B4582;Papilio;Achillides;daedalus;-;Philippines ;M;60;;
502;EL75609;EL-B4581;Papilio;Achillides;hopponis;-;Taiwan;M;60;;
503;EL75610;EL-B4581;Papilio;Achillides;hopponis;-;Taiwan;M;60;;
504;EL75611;EL-B4577;Papilio;Achillides;karna;karna;Indonésie (Java);M;60;;
505;EL75612;EL-B4577;Papilio;Achillides;karna;karna;Indonésie;M;60;;
506;EL75613;EL-B4585;Papilio;Achillides;palinurus;palinurus;Indonésie (Bornéo);F;60;;
507;EL75614;EL-B4585;Papilio;Achillides;palinurus;palinurus;Indonésie (Bornéo);M;60;;
508;EL75615;EL-B4585;Papilio;Achillides;palinurus;palinurus;Malaisie;F;60;;
509;EL75616;EL-B4585;Papilio;Achillides;palinurus;palinurus;Malaisie;M;60;;
510;EL75617;EL-B4586;Papilio;Achillides;neumoegeni;-;Indonésie (Sumba);F;60;;
511;EL75618;EL-B4583;Papilio;Achillides;neumoegeni;angustatus;Philippines ;F;60;;
512;EL75619;EL-B4583;Papilio;Achillides;neumoegeni;angustatus;Philippines ;M;60;;
513;EL75620;EL-B4583;Papilio;Achillides;neumoegeni;angustatus;Philippines ;M;60;;
514;EL75621;EL-B4586;Papilio;Achillides;peranthus;peranthus;Indonésie (Java);M;60;;
515;EL75622;EL-B4586;Papilio;Achillides;peranthus;peranthus;Indonésie (Java);M;60;;
516;EL75623;EL-B4586;Papilio;Achillides;peranthus;peranthus;Indonésie (Java);F;60;;
517;EL75624;EL-B4586;Papilio;Achillides;peranthus;transiens;Indonésie (Lombok);F;60;;
518;EL75625;EL-B4576;Papilio;Achillides;pericles;-;NA;M;60;;
519;EL75626;EL-B4587;Papilio;Achillides;syfanius;-;Thibet;M;60;;
520;EL75627;EL-B4587;Papilio;Achillides;syfanius;-;Thibet;M;60;;
521;EL75628;EL-B4588;Papilio;Sinoprinceps;xuthus;xuthus;Chine;M;60;;
522;EL75629;EL-B4588;Papilio;Sinoprinceps;xuthus;xuthus;Chine;M;60;;
523;EL75630;EL-B4588;Papilio;Sinoprinceps;xuthus;xuthus;Chine;F;60;;
524;EL75631;EL-B4588;Papilio;Sinoprinceps;xuthus;xuthus;Chine;F;60;;
525;EL75632;EL-B4589;Papilio;Papilio;indra;indra;USA;M;60;;
526;EL75633;EL-B4589;Papilio;Papilio;indra;indra;USA;M;60;;
527;EL75634;EL-B4589;Papilio;Papilio;indra;indra;USA;F;60;;
528;EL75635;EL-B4590;Papilio;Papilio;hospiton;-;Corse;M;60;;
529;EL75636;EL-B4590;Papilio;Papilio;hospiton;-;Sardaigne;M;60;;
530;EL75637;EL-B4590;Papilio;Papilio;hospiton;-;Corse;F;60;;
531;EL75638;EL-B4590;Papilio;Papilio;hospiton;-;Sardaigne;F;60;;
532;EL75639;EL-B4591;Papilio;Papilio;hippocrates;-;Japon;M;60;;
533;EL75640;EL-B4591;Papilio;Papilio;hippocrates;-;Japon;M;60;;
534;EL75641;EL-B4591;Papilio;Papilio;hippocrates;-;Japon;F;60;;
535;EL75642;EL-B4591;Papilio;Papilio;hippocrates;-;Japon;F;60;;
536;EL38895;B0003232;Papilio;Papilio;machaon;machaon;France;M;60;;
537;EL38900;B0003232;Papilio;Papilio;machaon;machaon;France;F;60;;
538;EL75643;B0003232;Papilio;Papilio;machaon;machaon;France;M;60;;
539;EL38908;B0003232;Papilio;Papilio;machaon;machaon;France;F;60;;
540;EL75644;EL-B4592;Papilio;Papilio;oregonius;-;USA;F;60;;
541;EL75645;EL-B4592;Papilio;Papilio;zelicaon;-;USA;M;60;;
542;EL75646;EL-B4592;Papilio;Papilio;zelicaon;-;USA;M;60;;
543;EL75647;EL-B4592;Papilio;Papilio;zelicaon;-;USA;F;60;;
544;EL75648;EL-B4592;Papilio;Papilio;zelicaon;-;USA;F;60;;
545;EL75649;EL-B4593;Papilio;Papilio;polyxenes;polyxenes;Mexique;M;60;;
546;EL75650;EL-B4593;Papilio;Papilio;polyxenes;polyxenes;NA;F;60;;
547;EL75651;EL-B4594;Papilio;Papilio;polyxenes;asterius;USA;M;60;;
548;EL75652;EL-B4595;Papilio;Papilio;polyxenes;asterius;Mexique;F;60;;
549;EL75653;EL-B4596;Papilio;Papilio;alexanor;alexanor;France;M;60;;
550;EL75654;EL-B4596;Papilio;Papilio;alexanor;alexanor;France;M;60;;
551;EL75655;EL-B4596;Papilio;Papilio;alexanor;alexanor;France;F;60;;
552;EL75656;EL-B4596;Papilio;Papilio;alexanor;alexanor;France;F;60;;
553;EL75657;EL-B4597;Papilio;Pterourus;scamander;grayi;Brésil;M;60;;
554;EL75658;EL-B4597;Papilio;Pterourus;scamander;grayi;Brésil;M;60;;
555;EL75659;EL-B4597;Papilio;Pterourus;scamander;grayi;Brésil;F;60;;
556;EL75660;EL-B4597;Papilio;Pterourus;scamander;grayi;Brésil;F;60;;
557;EL75661;EL-B4598;Papilio;Pterourus;garamas;garamas;Mexique;M;60;;
558;EL75662;EL-B4598;Papilio;Pterourus;garamas;garamas;Mexique;M;60;;
559;EL75663;EL-B4598;Papilio;Pterourus;garamas;garamas;Mexique;F;60;;
560;EL75664;EL-B4598;Papilio;Pterourus;garamas;garamas;Mexique;F;60;;
561;EL75665;EL-B4599;Papilio;Pterourus;birchallii;birchallii;Colombie;M;60;;
562;EL75666;EL-B4599;Papilio;Pterourus;birchallii;birchallii;Colombie;M;60;;
563;EL75667;EL-B4599;Papilio;Pterourus;victorinus;victorinus;Mexique;M;60;;
564;EL75668;EL-B4599;Papilio;Pterourus;victorinus;victorinus;Mexique;M;60;;
565;EL75669;EL-B4699;Papilio;Pterourus;victorinus;victorinus;Mexique;F;60;;
566;EL75670;EL-B4699;Papilio;Pterourus;victorinus;victorinus;Mexique;F;60;;
567;EL75671;EL-B4700;Papilio;Pterourus;glaucus;glaucus;Canada;M;60;;
568;EL75672;EL-B4700;Papilio;Pterourus;glaucus;glaucus;USA;M;60;glaucus;
569;EL75673;EL-B4701;Papilio;Pterourus;glaucus;glaucus;USA;F;60;glaucus;
570;EL75674;EL-B4701;Papilio;Pterourus;glaucus;glaucus;USA;F;60;turnus;
571;EL75675;EL-B4702;Papilio;Pterourus;rutulus;-;USA;M;60;;
572;EL75676;EL-B4702;Papilio;Pterourus;rutulus;-;USA;M;60;;
573;EL75677;EL-B4702;Papilio;Pterourus;rutulus;-;USA;F;60;;
574;EL75678;EL-B4702;Papilio;Pterourus;rutulus;-;USA;F;60;ammoni;
575;EL75679;EL-B4703;Papilio;Pterourus;eurymedon;eurymedon;USA;M;60;;
576;EL75680;EL-B4703;Papilio;Pterourus;eurymedon;eurymedon;USA;M;60;;
577;EL75681;EL-B4703;Papilio;Pterourus;eurymedon;eurymedon;USA;F;60;;
578;EL75682;EL-B4703;Papilio;Pterourus;eurymedon;eurymedon;USA;F;60;;
579;EL75683;EL-B4704;Papilio;Pterourus;multicaudata;-;Mexique;M;60;;
580;EL75684;EL-B4704;Papilio;Pterourus;multicaudata;-;Mexique;M;60;;
581;EL75685;EL-B4705;Papilio;Pterourus;multicaudata;-;Mexique;F;60;;
582;EL75686;EL-B4705;Papilio;Pterourus;multicaudata;-;Mexique;F;60;;
583;EL75687;EL-B4706;Papilio;Pterourus;troilus;troilus;USA;M;60;;
584;EL75688;EL-B4706;Papilio;Pterourus;troilus;troilus;USA;M;60;;
585;EL75689;EL-B4707;Papilio;Pterourus;troilus;troilus;USA;F;60;;
586;EL75690;EL-B4707;Papilio;Pterourus;troilus;troilus;USA;F;60;;
587;EL75691;EL-B4708;Papilio;Pterourus;palamedes;palamedes;USA;M;60;;
588;EL75692;EL-B4708;Papilio;Pterourus;palamedes;palamedes;USA;M;60;;
589;EL75693;EL-B4708;Papilio;Pterourus;palamedes;palamedes;USA;F;60;;
590;EL75694;EL-B4708;Papilio;Pterourus;palamedes;palamedes;USA;F;60;;
591;EL75695;EL-B4709;Papilio;Pterourus;pilumnus;-;Mexique;M;60;;
592;EL75696;EL-B4709;Papilio;Pterourus;pilumnus;-;Mexique;M;60;;
593;EL75697;EL-B4709;Papilio;Pterourus;pilumnus;-;Mexique;F;60;;
594;EL75698;EL-B4710;Papilio;Pterourus;cacicus;cacicus;Colombie;M;60;;
595;EL75699;EL-B4710;Papilio;Pterourus;cacicus;cacicus;Colombie;M;M;;
596;EL75700;EL-B4710;Papilio;Pterourus;euterpinus;-;Equateur;F;60;;
597;EL75701;EL-B4710;Papilio;Pterourus;euterpinus;-;Equateur;M;60;;
598;EL75702;EL-B4711;Papilio;Heraclides;thoas;thoas;Guyane;F;60;;
599;EL75703;EL-B4711;Papilio;Heraclides;thoas;thoas;Guyane;M;60;;
600;EL75704;EL-B4711;Papilio;Heraclides;thoas;thoas;Guyane;M;60;;
601;EL75705;EL-B4711;Papilio;Heraclides;thoas;thoas;Suriname;F;60;;
602;EL75706;EL-B4712;Papilio;Pterourus;homerus;bitias;Pérou;M;60;;
603;EL75707;EL-B4712;Papilio;Pterourus;homerus;bitias;Equateur;M;60;;
604;EL75708;EL-B4712;Papilio;Pterourus;homerus;bitias;Equateur;F;60;;
605;EL75709;EL-B4713;Papilio;Pterourus;homerus;bitias;Amazone;F;60;therapes;
606;EL75710;EL-B4714;Papilio;Pterourus;warscewiczii;warscewiczii;Bolivie;M;60;;
607;EL75711;EL-B4714;Papilio;Pterourus;warscewiczii;warscewiczii;Bolivie;M;60;;
