num;id;box;genus;Subgenus;sp;ssp;loc;sex;Hauteur_platine;form;Note
22;EL72430;B0003920;Ornithoptera;-;goliath;supremus;Papouasie-Nouvelle-Guinée;F;85;;
23;EL72431;B0003921;Ornithoptera;-;rothschildi;-;Nouvelle-Guinée;M;60;;
24;EL72432;B0003921;Ornithoptera;-;rothschildi;-;Nouvelle-Guinée;M;60;;
25;EL72433;B0003921;Ornithoptera;-;rothschildi;-;Nouvelle-Guinée;F;60;;
26;EL72434;B0003921;Ornithoptera;-;rothschildi;-;Nouvelle-Guinée;F;60;;
27;EL72435;B0003922;Ornithoptera;-;chimaera;chimaera;Nouvelle-Guinée;M;70;;
28;EL72436;B0003922;Ornithoptera;-;chimaera;chimaera;Nouvelle-Guinée;M;70;;
29;EL72437;B0003922;Ornithoptera;-;chimaera;chimaera;Nouvelle-Guinée;F;70;;
30;EL72438;B0003922;Ornithoptera;-;chimaera;chimaera;Nouvelle-Guinée;F;70;;
31;EL72439;B0003923;Ornithoptera;-;richmondia;-;Australie;M;55;;
32;EL72440;B0003923;Ornithoptera;-;richmondia;-;Australie;M;55;;
33;EL72441;B0003923;Ornithoptera;-;richmondia;-;Australie;F;55;;
34;EL72442;B0003923;Ornithoptera;-;richmondia;-;NA;F;55;;
35;EL72443;B0003924;Ornithoptera;-;euphorion;-;Australie;M;65;;
36;EL72444;B0003924;Ornithoptera;-;euphorion;-;Australie;M;65;;
37;EL72445;B0003925;Ornithoptera;-;euphorion;-;Australie;F;65;;
38;EL72446;B0003925;Ornithoptera;-;euphorion;-;NA;F;65;;
39;EL72447;B0003926;Ornithoptera;-;goliath;samson;Nouvelle-Guinée;M;75;;
40;EL72448;B0003926;Ornithoptera;-;goliath;samson;Nouvelle-Guinée;M;75;;
41;EL72449;B0003926;Ornithoptera;-;goliath;-;Nouvelle-Guinée;F;75;;
42;EL72450;B0003926;Ornithoptera;-;goliath;-;Nouvelle-Guinée;F;75;;
43;EL72451;B0003927;Ornithoptera;-;tithonus;tithonus;NA;M;75;;
44;EL72452;B0003927;Ornithoptera;-;tithonus;misreniana;Nouvelle-Guinée;M;75;;
45;EL72453;B0003927;Ornithoptera;-;tithonus;misreniana;Nouvelle-Guinée;F;75;;
46;EL72454;B0003927;Ornithoptera;-;tithonus;misreniana;Nouvelle-Guinée;F;75;;
47;EL72455;B0003928;Ornithoptera;-;paradisea;paradisea;Nouvelle-Guinée;M;75;;
48;EL72456;B0003928;Ornithoptera;-;paradisea;paradisea;NA;M;75;;
49;EL72457;B0003928;Ornithoptera;-;paradisea;paradisea;NA;F;75;;
50;EL72458;B0003928;Ornithoptera;-;paradisea;paradisea;Nouvelle-Guinée;F;75;;
51;EL72459;B0003929;Ornithoptera;-;meridionalis;-;Nouvelle-Guinée;F;75;;
52;EL72460;B0003929;Ornithoptera;-;meridionalis;tarunggarensis;Nouvelle-Guinée;M;75;;
53;EL72461;B0003930;Baronia;-;brevicornis;-;Mexique;M;50;;
54;EL72462;B0003930;Baronia;-;brevicornis;-;Mexique;M;50;;
55;EL72463;B0003930;Baronia;-;brevicornis;-;Mexique;F;50;;
56;EL72464;B0003931;Papilio;Princeps;rex;abyssinicana;Ethiopie;M;50;;
57;EL72465;B0003931;Papilio;Princeps;rex;abyssinicana;Ethiopie;M;50;;
58;EL72466;B0003931;Papilio;Princeps;rex;abyssinicana;Ethiopie;F;50;;
59;EL72467;B0003931;Papilio;Princeps;rex;abyssinicana;Ethiopie;F;50;;
60;EL72468;B0003932;Papilio;Princeps;phorcas;phorcas;Côte d'Ivoire;M;50;;
61;EL72469;B0003932;Papilio;Princeps;phorcas;phorcas;Guinée-Equatoriale;M;50;;
62;EL72470;B0003933;Papilio;Princeps;phorcas;phorcas;Sierra-Leone;F;50;;
63;EL72471;B0003933;Papilio;Princeps;phorcas;phorcas;Sierra-Leone;F;50;;
64;EL72472;B0003934;Papilio;Princeps;constantinus;-;Afrique Orientale;Ind;50;;
65;EL72473;B0003934;Papilio;Princeps;constantinus;-;Tanzanie;Ind;50;;
66;EL72474;B0003934;Papilio;Princeps;constantinus;-;Afrique Orientale;Ind;50;;
67;EL72475;B0003934;Papilio;Princeps;constantinus;-;Kenya;Ind;50;;
68;EL72476;B0003935;Papilio;Princeps;meriones;-;Madagascar;M;55;;
