id;view;coord0;coord1;coord2;coord3;coord4;coord5;coord6;coord7;coord8;coord9;coord10;coord11;coord12;coord13;coord14;coord15;coord16;coord17;coord18
ACC0050;D;-27.52223366;6.156101289;11.75058454;0.269549714;7.846197971;-6.021868645;2.139924449;-8.780036624;-4.465707886;-2.064978612;0.676957838;0.600312278;4.587568192;-1.385820804;-0.443937478;-1.596023588;-1.832061127;3.078024162;-0.775980164
ACC0050;V;-24.41388952;6.965533847;11.81064776;-5.566838313;0.987378116;-4.40550501;2.100291432;-6.948377154;-1.159498714;0.200275417;-0.421371392;4.153087487;-0.0536223;-1.823986785;-1.445721201;0.405639173;-1.337010918;1.652125081;-2.046345366
ACC0060;D;-25.53875958;5.162344984;13.65253461;0.549635061;5.605039173;-7.727365561;0.989983973;-6.65371678;-6.956235625;0.599704619;0.312286038;-1.771122571;4.138733236;-0.769512004;1.354033068;0.227693947;-1.51593319;3.417807152;-0.182999262
ACC0060;V;-18.34290394;25.83617091;-7.946506296;-1.895291879;-1.362888247;-10.41074036;1.587814801;-11.27423198;2.887863856;6.103507339;-3.145744744;-1.871248182;-9.489423746;-0.144534817;-7.306510845;-3.744044342;1.228337484;2.774490026;-1.706278837
ACC0062;D;-23.4955453;10.02522032;5.553473022;-6.181746264;3.717784564;-3.245139233;7.637328589;-7.234545167;-1.058638866;0.702946591;-2.91580123;-1.101271897;-5.392522547;-2.976614257;-6.459010315;3.370240413;-0.752321814;2.793333469;2.740376784
ACC0062;V;-16.03422676;26.87877325;-12.15795857;-2.113830167;-1.878504068;-5.528646731;2.343695658;-9.783357057;5.409923204;2.478860702;-3.320469853;-2.164948577;-8.701805236;1.343953329;-5.075134252;-1.173202582;2.175588789;2.98622116;0.458606262
ACC0063;D;-24.37475799;14.10984157;2.149055018;-6.200984417;3.622626158;-5.905399984;4.577920637;-7.093751856;-3.349319378;1.425725839;-5.456110205;-1.076330911;-4.377428509;-4.405400552;-7.715980676;1.306483145;-0.544129653;3.593207596;0.213947114
ACC0063;V;-24.32831234;16.6034044;1.606777054;-5.591045699;3.046003494;-5.721737328;4.192883059;-8.958724169;-1.565923667;1.51711994;-4.902843769;-0.448885307;-6.11023779;-4.949874279;-8.055865574;-0.117439308;0.042612625;3.198078544;-1.535001931
ACC0066;D;-28.35041778;5.277929696;11.77537648;-0.414223526;8.944150338;-4.229960676;5.210073554;-9.312438935;-3.368028505;-3.325198649;0.415928571;1.282782183;4.205537633;-3.069268231;-0.481565554;-0.471960798;-2.698804686;2.921434914;1.300283389
ACC0066;V;-26.82060267;11.75308441;8.545460007;-5.383790649;3.744109044;-4.340030286;6.06747729;-9.288110904;-0.408931529;-1.126798905;-3.133539227;3.411043982;-1.216956468;-5.099817861;-4.26780222;0.908188767;-1.31850236;1.331018956;-0.720739209
ACC0071;D;-18.59542111;10.69873733;6.321122539;1.095736949;-1.887079104;-12.11270393;-5.57977398;-2.156529187;-5.120625907;5.236012328;-3.387168064;-1.569055883;-2.456489346;0.062713854;-2.2528391;1.459207762;0.459650897;0.861249914;-2.366621729
ACC0071;V;-1.797034824;34.58587679;-21.5458152;6.233997844;-6.696929352;-16.73262296;-5.710871675;-3.922704113;0.936907927;9.336369195;-3.131228408;-4.542982971;-8.482991158;1.285838866;2.601560909;-6.020048137;-2.740486257;0.114211169;-4.226987384
ACC0074;D;-27.7488528;10.07718698;10.02424939;-3.118706837;7.040842297;-6.51962037;4.948689977;-9.871644952;-4.385889862;-0.265830991;-1.880636366;-1.764147193;0.107534782;-3.155522088;-3.925226133;0.068706851;-1.66929104;4.126697186;0.428931008
ACC0074;V;-17.99335544;31.27547311;-7.403003919;0.510455454;-1.618352618;-9.854511756;3.44868738;-15.55719042;3.950094076;7.959036184;-0.420469791;-1.9136109;-10.6952776;-2.935491382;-1.557514892;-8.890135027;0.098033294;1.463573404;-4.450983725
ACC0077;D;-26.70089875;13.17766292;9.699128288;-2.441454561;3.098645907;-9.055030062;0.908309161;-9.348989488;-3.678577854;1.097797524;-2.30079156;2.244630231;1.755919429;-3.303335905;-2.775265304;-1.077154652;-1.078305185;2.952922859;-2.924981257
ACC0077;V;-18.25975822;27.73426571;-4.719212108;-3.669529303;-4.38141249;-10.08806795;1.151377347;-11.6766612;3.5515842;6.21364268;-2.249715789;2.062564854;-8.105089854;-2.634063142;-5.773051769;-4.876548064;0.493576285;0.901831031;-4.778980499
ACC0079;D;-23.25457841;18.61186762;0.439152321;-5.800026215;1.571873427;-3.427068365;4.101937527;-10.012728;2.34552462;-0.060451176;-4.130130613;1.587467007;-5.363634428;-3.105160046;-5.895242706;0.167065841;0.719999598;2.121953164;-0.39117674
ACC0079;V;-14.53944339;32.3791233;-14.83326361;-4.63999356;-2.123916636;-2.736581541;5.453673293;-11.73521948;6.189483916;4.127375707;-2.094057676;-1.393112832;-9.520883015;-2.698014227;-1.29712598;-3.792921405;1.128587274;2.05235073;-1.186167447
ACC0081;D;-25.08124284;3.501686572;10.5583021;6.588820567;10.0646741;-6.805959379;-2.271474201;-7.380698077;-9.461827496;-1.788544548;1.338493552;-3.531807069;9.928547589;0.339081943;2.792328111;-3.038120555;-1.172720903;5.871333219;1.293029677
ACC0081;V;-24.97128407;6.170514651;11.68273901;3.135144245;5.706564808;-7.595884449;-1.647202041;-7.029656936;-6.985507418;-0.878877424;-0.358429088;-0.710949913;5.429692167;-1.242868234;1.662690311;-0.762284098;-0.996984954;4.425635466;-0.760110453
ACC0083;D;-24.02353041;11.19527914;7.299193397;1.123809271;3.947288849;-9.681772745;-0.799578082;-6.306986974;-3.937953449;0.640678166;-1.916770351;0.174206318;0.750418506;-1.533417952;-1.931563411;-0.195203958;-1.04254777;2.177409386;-2.099049611
ACC0083;V;-16.87923269;25.81190882;-2.156968868;0.108948194;-5.653328965;-14.05092985;-3.303980069;-5.73999838;-0.850108745;4.837448934;-5.294369813;1.989983239;-2.073467719;-1.573788838;-3.326526906;-0.342358731;1.861011982;0.254773157;-5.464523792
ACC0084;D;-26.14194443;2.477442326;11.7799357;8.071479519;11.06381704;-5.071755309;0.20829135;-10.41848547;-6.725937412;-4.336284576;3.631140859;0.074844205;14.3604196;0.370232436;4.402073097;-4.158859822;-2.145379909;6.104976162;1.512688027
