id;view;meanb
EL43105;D;0.108548752
EL43105;V;0.149460019
EL43106;D;0.049189183
EL43106;V;0.081473939
EL43108;D;0.066661303
EL43108;V;0.109699752
EL43131;D;0.09018969
EL43131;V;0.104492624
EL43143;D;0.048774683
EL43143;V;0.105138896
EL43144;D;0.072356664
EL43144;V;0.132697125
EL43145;D;0.060223948
EL43145;V;0.120604063
EL43171;D;0.059565666
EL43171;V;0.08603378
EL43178;D;0.057724373
EL43178;V;0.127441098
EL43179;D;0.088132889
EL43179;V;0.13756051
EL43218;D;0.082952946
EL43218;V;0.127075188
EL43219;D;0.081570331
EL43219;V;0.126174249
EL43224;D;0.064541406
EL43224;V;0.1005864
EL43226;D;0.081364792
EL43226;V;0.11442032
EL43228;D;0.058835881
EL43228;V;0.10858997
EL43229;D;0.058902129
EL43229;V;0.104178203
EL43230;D;0.06155423
EL43230;V;0.110238863
EL43239;D;0.11524943
EL43239;V;0.183961036
EL43240;D;0.13653838
EL43240;V;0.188658563
EL43249;D;0.135792626
EL43249;V;0.254654811
EL4370;D;0.069032987
EL4370;V;0.098123517
EL72366;D;0.222778683
EL72366;V;0.247833629
EL72367;D;0.195678536
EL72367;V;0.23219549
EL72407;D;0.28791909
EL72407;V;0.257784172
EL72418;D;0.099757975
EL72418;V;0.105747117
EL72444;D;0.045114767
EL72444;V;0.101551667
EL72446;D;0.085090255
EL72446;V;0.127545125
EL72487;D;0.062185924
EL72487;V;0.153647798
EL72488;D;0.046934074
EL72488;V;0.10828999
EL72490;D;0.048283209
EL72490;V;0.117997935
EL72509;D;0.067179045
EL72509;V;0.146090118
EL72573;D;0.067617404
EL72573;V;0.121481251
EL72575;D;0.131244552
EL72575;V;0.206905485
EL72583;D;0.125597465
EL72583;V;0.181242162
EL72586;D;0.085991424
EL72586;V;0.150414533
EL725886;V;0.150399545
EL72599;D;0.084932546
EL72599;V;0.182190067
EL72600;D;0.106789112
EL72600;V;0.177359861
EL72601;D;0.078445016
EL72602;D;0.145183639
EL72602;V;0.24949725
EL72603;D;0.052641941
EL72603;V;0.091854682
EL72604;D;0.087996538
EL72604;V;0.104604308
EL72612;D;0.112540973
EL72612;V;0.126054054
EL72619;D;0.1240132
EL72619;V;0.192986021
EL72620;D;0.086535123
EL72620;V;0.070477089
EL72621;D;0.096459853
EL72621;V;0.157304487
EL72654;D;0.051850149
EL72654;V;0.076158986
EL72659;D;0.166578015
EL72659;V;0.231695959
EL72661;D;0.230893806
EL72661;V;0.302912396
EL72664;D;0.050328853
EL72667;D;0.04722423
EL72667;V;0.079434615
EL72668;D;0.125867148
EL72668;V;0.220923641
EL72703;D;0.060389585
EL72703;V;0.131490961
EL72709;D;0.061941264
EL72709;V;0.124518461
EL72712;D;0.074170882
EL72712;V;0.162284532
EL72716;D;0.060330341
EL72716;V;0.159866202
EL72718;D;0.063045485
EL72718;V;0.092705447
EL72719;D;0.062708765
EL72719;V;0.075490325
EL72720;D;0.054936819
EL72720;V;0.076528958
EL72723;D;0.107620255
EL72723;V;0.139729947
EL72738;D;0.062175278
EL72738;V;0.109269262
EL72747;D;0.054326242
EL72747;V;0.083400568
EL75301;D;0.073927431
EL75301;V;0.184559494
EL75302;D;0.069711873
EL75302;V;0.172981992
EL75326;D;0.078671475
EL75326;V;0.267407058
EL75327;D;0.115400634
EL75327;V;0.303507941
EL75328;D;0.075364356
EL75328;V;0.278961364
EL75334;D;0.058438094
EL75334;V;0.172954376
EL75335;D;0.0618035
EL75335;V;0.195344792
EL75337;D;0.071577826
EL75337;V;0.184853295
EL75346;D;0.081591901
EL75346;V;0.193238096
EL75347D (1;);0.075458797
EL75347;D;0.075458797
EL75347;V;0.185154296
EL75348;D;0.11121838
EL75348;V;0.232871937
EL75353;D;0.182807459
EL75353;V;0.258860523
EL75354;D;0.074073129
EL75355;D;0.148038958
EL75355;V;0.219617207
EL75357;D;0.081415689
EL75357;V;0.206104883
EL75358;D;0.063523859
EL75358;V;0.096952596
EL75359;D;0.066686963
EL75359;V;0.128329091
EL75360;D;0.084783713
EL75360;V;0.13607558
EL75361;D;0.073156471
EL75361;V;0.143407246
EL75362;D;0.128118504
EL75362;V;0.22491795
EL75364;V;0.230218616
EL75365;D;0.08871061
EL75365;V;0.23497914
EL75366;D;0.106427054
EL75366;V;0.199833767
EL75368;D;0.233800291
EL75368;V;0.399834101
EL75380;D;0.23401866
EL75388;D;0.233800291
EL75388;V;0.399834101
EL75390;D;0.23401866
EL75390;V;0.333177104
EL75402;D;0.145476264
EL75402;V;0.225293234
EL75424;D;0.102850175
EL75424;V;0.229976081
EL75426;D;0.105519311
EL75426;V;0.246563296
EL75428;D;0.147659751
EL75428;V;0.293000441
EL75429;D;0.126506428
EL75429;V;0.252144146
EL75430;D;0.094677949
EL75430;V;0.18155401
EL75507;D;0.089448805
EL75507;V;0.158058178
EL75508;D;0.065021288
EL75508;V;0.119217479
EL75511;D;0.094850717
EL75511;V;0.132666293
EL75513;D;0.125841538
EL75513;V;0.158941991
EL75543;D;0.228326231
EL75543;V;0.092955268
EL75560;D;0.051998581
EL75579;D;0.245593019
EL75579;V;0.076834696
EL75581;D;0.149073032
EL75581;V;0.099768096
EL75583;D;0.149090869
EL75583;V;0.053872706
EL75585;D;0.142638844
EL75585;V;0.081989397
EL75587;D;0.19813531
EL75587;V;0.164086083
EL75593;D;0.071815095
EL75593;V;0.095718201
EL75598;D;0.071426664
EL75598;V;0.141047033
EL75599;D;0.104450911
EL75599;V;0.181346133
EL75607;D;0.06152453
EL75607;V;0.103965609
EL75608;D;0.076208806
EL75608;V;0.14380003
EL75615;D;0.107696851
