id;view;coord0;coord1;coord2;coord3;coord4;coord5;coord6;coord7;coord8;coord9;coord10;coord11;coord12;coord13;coord14;coord15;coord16;coord17;coord18;coord19;coord20;coord21;coord22;coord23
EL72596;V;-4.642704147;-5.192887489;-14.70225538;24.30320538;3.58022755;8.124459306;8.097965703;8.889875529;-3.555490888;-7.313430205;2.252455679;2.75028789;-4.497128549;-1.503748017;9.925475666;-6.894384401;-5.768558647;10.03226746;-2.507406451;2.304047997;2.515086295;-1.491563512;-0.594807794;-1.75387563
EL72597;D;-4.169809465;2.294452607;-4.094470802;31.29515641;-3.066896338;10.06677378;8.944469733;3.416990991;10.45541421;-5.745945079;4.684802431;2.21026189;-4.52629625;8.47576543;5.624973228;-8.047758296;-11.05182854;1.598058968;-1.394794263;-0.392580792;-8.728384937;-3.923884271;-1.586996098;4.70992182
EL72597;V;-2.836305919;5.869421107;-5.050642748;30.79447409;-4.326760506;8.787945968;6.910487184;1.801247001;10.78952125;-8.352505578;3.808984109;2.174040769;-0.744943432;8.453206891;4.430679286;-6.92615726;-8.43820939;0.896235285;-0.69507547;-1.512424735;-6.398348825;-2.066287009;-0.519841366;4.795804718
EL72598;D;-7.069266824;0.415639913;-5.385809196;33.32292734;-3.827765733;6.701860307;8.114548549;7.041210805;3.642937025;-10.46679014;1.699655443;0.971270982;-2.807605609;4.136622279;4.628169389;0.219427532;-3.668133894;0.184312132;-0.456992796;-4.478973392;-3.79037492;-1.154974343;-2.303878693;-1.543273158
EL72598;V;-0.763246954;2.298183518;-4.92074402;35.45985549;-3.499983342;9.484281773;4.430021658;2.358925105;7.030649691;-9.167100202;1.242936805;-0.380957083;1.391281489;7.027979618;3.443292839;-1.805225472;-5.450872043;3.835127302;-0.051585593;-1.657225164;-1.90996097;-0.601277918;-1.52493684;2.011817235
EL72599;D;-6.284550895;1.577110686;3.572630975;33.00584221;-4.369979528;6.3045168;7.248945788;2.021806741;6.630893699;-4.959469241;7.41913093;-1.477939863;-6.575689528;6.292300077;2.367577606;3.089969406;-7.621738449;0.805159969;-4.866018575;-2.465202743;-5.43173871;-2.315479328;-0.990038885;-0.020969218
EL72599;V;-1.110406114;4.743721836;2.669007978;33.58116255;-3.679309677;5.482037675;4.76323245;-1.417790562;10.06751716;-5.077278707;6.347254216;-3.084707478;-0.138208204;6.551003553;1.998734599;2.463831778;-10.77787215;2.18625645;-5.809240247;-2.598330696;-4.168051841;-0.56576658;1.214744538;0.460150875
EL72600;D;-5.176096821;7.671481115;-4.913437624;31.20695221;-8.191803105;8.401646563;5.346450575;3.108560917;9.744995602;-7.464659134;1.490743111;-2.275075259;-0.413773186;3.80936306;3.614777735;-0.950325511;-6.393211561;-1.436312186;1.278484273;-5.07582179;-2.900987396;-1.014382153;-3.206067157;0.255316267
EL72600;V;-1.62771543;6.919720853;-1.630282103;30.95959388;-8.058254048;7.112893897;4.881514053;-1.5589916;13.24110513;-5.006851089;1.516859248;-3.580649579;2.157290991;5.982255499;2.198098936;-0.599065199;-8.929977603;1.65384125;-3.503851544;-5.400305983;-1.659613147;0.799233102;-1.252389418;1.860517475
EL72601;D;-1.641687535;6.355435322;-3.33304129;30.84537868;-7.374655655;2.819618666;6.838658756;0.617369324;8.45600993;-5.98665192;0.187594595;-7.340438739;7.097894182;8.165660297;3.577822927;2.217019891;-9.564763935;2.357241276;-5.753727745;-6.59403373;3.059013002;-2.108758922;-0.783831233;-1.823548427
