;id;genus;sp;ssp;sex;form;collection_date;
606;EL43219;Byasa;dasarada;dasarada;F;;1925;
611;EL43224;Byasa;mencius;-;M;;1925;
613;EL43226;Byasa;mencius;-;F;;1912;
615;EL43228;Byasa;plutonius;plutonius;M;;1913;
616;EL43229;Byasa;plutonius;plutonius;M;;1913;
617;EL43230;Byasa;plutonius;plutonius;F;;1870;
626;EL43239;Losaria;coon;coon;F;;1897;
627;EL43240;Losaria;coon;coon;F;;1897;
636;EL43249;Pachliopta;liris;aberrans;M;;1920;
645;EL72366;Iphiclides;feisthamelii;feisthamelii;M;;;
646;EL72367;Iphiclides;feisthamelii;feisthamelii;M;;;
686;EL72407;Iphiclides;podalirius;flammaeus;M;;;
697;EL72418;Ornithoptera;aesacus;-;F;;1989;
723;EL72444;Ornithoptera;euphorion;-;M;;1903;
725;EL72446;Ornithoptera;euphorion;-;F;;;
766;EL72487;Papilio;lormieri;lormieri;F;;1906;
767;EL72488;Papilio;demodocus;demodocus;M;;1907;
769;EL72490;Papilio;demodocus;demodocus;M;;1885;
788;EL72509;Papilio;demoleus;demoleus;M;;1938;
852;EL72573;Papilio;polytes;polytes;M;;1914;
854;EL72575;Papilio;polytes;polytes;F;;;
862;EL72583;Papilio;protenor;protenor;F;;1870;
865;EL72586;Papilio;protenor;protenor;M;;1870;
878;EL72599;Papilio;memnon;memnon;F;isarcha;1909;
879;EL72600;Papilio;memnon;memnon;F;imperiosa;1920;
880;EL72601;Papilio;memnon;memnon;F;achates;1918;
881;EL72602;Papilio;memnon;memnon;F;venusia;1896;
882;EL72603;Papilio;oenomaus;oenomaus;M;;1896;
883;EL72604;Papilio;rumanzovia;-;M;;1918;
891;EL72612;Papilio;rumanzovia;-;F;semperinus;1836;
898;EL72619;Papilio;deiphobus;deiphobus;F;hypoxanthos;1881;
899;EL72620;Papilio;deiphobus;deiphobus;F;flava;1918;
900;EL72621;Papilio;deiphobus;deiphobus;F;flava;1864;
933;EL72654;Papilio;aegeus;aegeus;M;;1847;
938;EL72659;Papilio;aegeus;aegeus;F;;1885;
940;EL72661;Papilio;aegeus;aegeus;F;;1885;
943;EL72664;Papilio;gambrisius ;gambrisius ;M;;;
946;EL72667;Papilio;gambrisius ;gambrisius ;M;;1899;
947;EL72668;Papilio;gambrisius ;gambrisius ;F;;1896;
982;EL72703;Papilio;helenus;helenus;F;;1920;
988;EL72709;Papilio;enganius;enganius;M;;1908;
991;EL72712;Papilio;enganius;enganius;F;;1908;
995;EL72716;Papilio;enganius;enganius;F;;1890;
997;EL72718;Papilio;ambrax;ambrax;M;;1906;
998;EL72719;Papilio;ambrax;ambrax;M;;1920;
999;EL72720;Papilio;ambrax;ambrax;M;;1918;
1002;EL72723;Papilio;ambrax;ambrax;F;;1906;
1017;EL72738;Papilio;bootes;bootes;M;;1895;
1026;EL72747;Papilio;dialis;andronicus;M;;1910;
1030;EL75301;Graphium;arycles;arycles;F;;1936;
1031;EL75302;Graphium;arycles;arycles;M;;1903;
1055;EL75326;Graphium;evemon;albociliatus;M;;1936;
1056;EL75327;Graphium;evemon;albociliatus;M;;1913;
1057;EL75328;Graphium;evemon;albociliatus;F;;1939;
1063;EL75334;Graphium;macfarlanei;macfarlanei;M;;1876;
1064;EL75335;Graphium;macfarlanei;macfarlanei;M;;1887;
1066;EL75337;Graphium;macfarlanei;macfarlanei;F;;1864;
1075;EL75346;Graphium;milon;milon;M;;1920;
1076;EL75347;Graphium;milon;milon;M;;1918;
1077;EL75348;Graphium;milon;anthedon;F;;1919;
1082;EL75353;Graphium;angolanus;angolanus;M;;1908;
1083;EL75354;Graphium;angolanus;angolanus;M;;1886;
1084;EL75355;Graphium;angolanus;angolanus;F;;1905;
1086;EL75357;Graphium;latreillianus;theorini;F;;;1877 ou 1977
1087;EL75358;Graphium;latreillianus;theorini;M;;1885;
1088;EL75359;Graphium;latreillianus;theorini;M;;1909;
1089;EL75360;Graphium;leonidas;leonidas;M;;1918;
1090;EL75361;Graphium;leonidas;leonidas;M;;1883;
1091;EL75362;Graphium;leonidas;leonidas;F;;1913;
1093;EL75364;Graphium;ridleyanus;ridleyanus;M;;;
1094;EL75365;Graphium;ridleyanus;ridleyanus;M;;;
1095;EL75366;Graphium;ridleyanus;ridleyanus;F;;1966;
1097;EL75368;Graphium;tynderaeus;-;M;;1895;
1109;EL75380;Graphium;ramaceus;leucothoe;M;;1899;
1117;EL75388;Graphium;agetes;agetes;M;;1884;
1119;EL75390;Graphium;agetes;agetes;F;;1920;
1131;EL75402;Graphium;eurous;asakurae;F;;;
1153;EL75424;Zerynthia;polyxena;-;F;;1942;
1155;EL75426;Zerynthia;polyxena;-;M;;1978;
1157;EL75428;Zerynthia;rumina;rumina;M;;1887;
1158;EL75429;Zerynthia;rumina;rumina;F;;1885;
1159;EL75430;Zerynthia;rumina;rumina;F;;1933;
1188;EL75507;Papilio;demetrius;demetrius;M;;;
1189;EL75508;Papilio;demetrius;demetrius;M;;1892;
1192;EL75511;Papilio;demetrius;demetrius;M;;1903;
1194;EL75513;Papilio;demetrius;demetrius;F;;1925;
1224;EL75543;Papilio;polymnestor;polymnestor;M;;1909;
1241;EL75560;Papilio;bianor;bianor;M;;1896;
1260;EL75579;Papilio;ulysses;ulysses;M;;1909;
1262;EL75581;Papilio;ulysses;ulysses;F;;1925;
1264;EL75583;Papilio;telegonus;-;M;;1918;
1266;EL75585;Papilio;montrouzieri;ulyssellus;M;;1875;
1268;EL75587;Papilio;montrouzieri;ulyssellus;F;;1893;
1274;EL75593;Papilio;blumei;blumei;M;;1918;
1279;EL75598;Papilio;buddha;-;M;;1892;
1280;EL75599;Papilio;buddha;-;F;;1899;
1288;EL75607;Papilio;daedalus;-;M;;1885;
1289;EL75608;Papilio;daedalus;-;M;;1918;
1296;EL75615;Papilio;palinurus;palinurus;F;;1900;
1297;EL75616;Papilio;palinurus;palinurus;M;;1916;
1298;EL75617;Papilio;neumoegeni;-;F;;2006;
1299;EL75618;Papilio;neumoegeni;angustatus;F;;1905;
1300;EL75619;Papilio;neumoegeni;angustatus;M;;1884;
1301;EL75620;Papilio;neumoegeni;angustatus;M;;1884;
1302;EL75621;Papilio;peranthus;peranthus;M;;1877;
1320;EL75639;Papilio;hippocrates;-;M;;1923;
1321;EL75640;Papilio;hippocrates;-;M;;1943;
1322;EL75641;Papilio;hippocrates;-;F;;1938;
1343;EL75662;Papilio;garamas;garamas;M;;1892;
1345;EL75664;Papilio;garamas;garamas;F;;1918;
1356;EL75675;Papilio;rutulus;-;M;;1909;
1357;EL75676;Papilio;rutulus;-;M;;1892;
1358;EL75677;Papilio;rutulus;-;F;;1918;
1359;EL75678;Papilio;rutulus;-;F;ammoni;1909;
1361;EL75680;Papilio;eurymedon;eurymedon;M;;1885;
1362;EL75681;Papilio;eurymedon;eurymedon;F;;1912;
1363;EL75682;Papilio;eurymedon;eurymedon;F;;1883;
1365;EL75684;Papilio;multicaudata;-;M;;1913;
1403;EL75722;Papilio;epycides;horatius;F;;1901;
1404;EL75723;Papilio;agestor;agestor;M;;1891;
1410;EL75729;Papilio;paradoxa;paradoxa;M;;1896;
1411;EL75730;Papilio;paradoxa;paradoxa;F;;1896;
1412;EL75731;Papilio;paradoxa;aenigma;M;;1929;
1416;EL75735;Papilio;cresphontes;-;M;;1910;
1417;EL75736;Papilio;cresphontes;-;M;;1913;
1418;EL75737;Papilio;cresphontes;-;F;;1920;
1419;EL75738;Papilio;cresphontes;-;F;;1920;
1420;EL75739;Papilio;aristodemus;aristodemus;M;;1851;
1421;EL75740;Papilio;aristodemus;temenes;M;;1909;
1422;EL75741;Papilio;aristodemus;temenes;F;;1909;
1429;EL75748;Papilio;anchisiades;anchisiades;M;;1862;
