id;view;coord0;coord1;coord2;coord3;coord4;coord5;coord6;coord7;coord8;coord9;coord10;coord11;coord12;coord13;coord14;coord15;coord16
EL75386;D;-6.41662434;-7.455882582;21.10646876;9.188004787;-4.83041558;-2.896619348;-5.390000425;2.304212451;2.260655162;-4.286141885;1.704131939;4.439176131;-1.984385702;5.036800901;2.099564471;0.567496638;-2.467842804
EL75386;V;16.03307258;-9.078060048;31.19669747;13.25956036;-2.768573096;-1.948643221;3.89909855;2.742707905;-3.078568039;-4.260342962;5.837564435;-4.551724173;1.833120809;11.88107326;6.160538352;1.160518544;1.983886915
EL75388;D;2.557675992;-14.86979144;-11.80613321;-4.094032657;2.269071357;4.843210686;-5.887969483;6.978169056;-2.117176498;-8.903043921;0.121279712;0.125929289;-1.639731206;-3.344968462;5.975303006;-2.331857683;-1.997562397
EL75388;V;37.42145126;11.55338378;6.322255463;-12.87436454;-5.119585498;47.75219757;-24.39882351;-0.514688037;-12.02228352;-1.292707959;-0.450054794;-0.295354595;14.83327156;3.115429515;0.326200533;-0.684545418;-3.587857
EL75390;D;3.472531734;-16.27271115;-4.403301671;-13.12455558;-6.193626421;8.988407889;-4.697309986;5.295635903;-2.402298889;-6.10114389;0.221426368;3.432583085;-7.775671748;-5.213910247;6.574501769;-1.836274266;1.019973679
EL75390;V;25.64116148;-14.79177726;1.973211684;-9.415691014;-3.325829067;30.2361306;-20.82398007;-1.748553249;-8.15374351;-2.045166256;5.667230282;0.710898161;-0.191268092;-8.982888363;2.776823979;-1.687164364;-0.683033293
EL75391;D;9.096276947;-12.74177381;5.314060779;-21.81948409;-12.96161383;12.33787814;-3.035893536;-3.925037256;-1.439253939;-2.860655067;-5.965356581;6.455046432;-4.375689879;-1.130741233;11.69464199;-2.697648905;3.329714413
EL75391;V;37.90956176;8.59756005;7.04710995;-5.112646811;0.101098881;38.83414857;-21.68804406;-2.633130118;-11.369567;-4.790461241;-5.183787968;-0.004716847;10.11863682;3.717773262;-1.56918784;3.515720048;-2.712931582
EL75401;D;4.095796561;-11.47422127;-1.493914617;8.431008092;4.042618336;-0.361957438;0.562429159;-1.552549882;3.032941183;-4.930705673;-8.478062573;1.857775809;5.580855119;1.629633652;7.45469274;-1.245062518;-2.042685142
EL75401;V;33.14302138;-17.77066723;-3.343401387;-6.836775617;-1.806564699;-8.814190874;-9.511286245;-13.85725382;0.273408051;-0.757853989;-0.628493316;-5.768031923;5.412862349;-7.049907733;-2.310063251;0.727509473;1.003895054
EL75402;D;-3.204555956;-9.631705028;-5.549084658;7.806592595;-7.619482871;-1.245836572;1.665948409;1.744303032;2.58362929;-5.26653131;-8.04305004;-1.20751142;1.575767995;2.236357387;7.046615108;-1.560776632;-3.222621745
EL75402;V;11.35065181;-18.11716773;19.13498604;-9.580420893;-2.559495132;-0.690400345;1.504361154;-0.850863326;0.897209084;-8.671974151;-2.961675298;1.814163293;0.422988054;0.90674336;6.514181234;2.462085993;6.01344337
EL75424;D;-8.496842461;5.085231872;-21.55331608;-9.800326379;15.78912115;-2.669439947;3.710357473;9.377586048;-5.569784884;0.215737045;6.213721743;-4.254090829;4.241761511;5.316768041;-0.316824857;3.119593373;-0.044909064
EL75424;V;40.6735933;-14.65740334;-17.13073779;13.56776344;18.08119907;-2.08702254;3.846861051;-15.44482819;12.82855373;-0.395672844;5.360316267;1.045885135;-0.430037073;1.961340977;-7.788601416;-13.40784039;10.08991743
EL75426;D;1.948534306;5.15751396;-26.00907713;-14.97443318;26.45793698;-1.574299427;8.851305372;13.45605137;-4.676736942;-1.396189502;9.543179497;-6.477660065;4.219006964;3.970822158;-7.305131378;2.825519324;1.376154547
EL75426;V;39.17878237;-10.87132253;-26.44349447;-6.135021445;28.30843899;8.107912502;-1.309947415;-8.911459335;7.722393037;-5.354880575;18.02303118;-2.274351526;-4.977301607;-2.585465939;-6.383113493;-12.50157176;9.74982342
EL75428;D;4.461618958;5.854568363;-30.50760972;-16.27032359;23.40589232;0.901676681;8.662101437;14.00228107;-5.109009781;-2.110713658;12.67858872;-8.109414109;1.18784421;5.475970392;-4.630736378;1.847944477;0.683728364
EL75428;V;59.39103322;9.135774193;-23.58045;13.04035162;27.97819827;11.23291225;0.033516788;-25.40334322;26.58420479;3.936012031;13.4554246;7.161230731;-22.28824173;10.79120066;1.538831689;-10.9003078;19.92987501
EL75429;D;-0.277515865;1.620670992;-28.27118097;-13.51640699;19.52857492;-2.591293803;8.222205043;13.77808591;-5.454088246;-2.183359789;7.804649447;-6.607177472;1.945371193;6.709395107;-3.196032854;2.439741944;-0.21288364
EL75429;V;50.38686493;-6.066006769;-26.2191674;21.62547579;20.31311186;0.268344327;8.311658221;-22.52988444;25.30939366;9.989863661;11.16909777;3.620998884;-15.40680337;11.19277182;-2.258948519;-17.73473425;10.7582288
EL75430;D;-6.183799753;5.424618159;-20.49521783;-12.46060485;22.64596087;-2.644699248;5.552220101;9.919651512;-4.607819211;-1.086377245;5.625848512;-3.163220523;5.872800509;3.077691836;-2.209683841;3.117437206;0.716163065
EL75430;V;19.05463664;-17.05633749;-17.50575768;14.2270196;18.1747462;-4.76718357;4.632889725;2.729059383;7.312233584;0.06447776;-2.311518631;-3.196559671;4.704952635;2.210979498;-3.45771376;-6.518593374;4.141406053
EL75507;D;-24.74059967;15.38136113;2.791265724;-0.553108447;-1.264566412;2.963004837;2.133741721;-8.401532399;1.023721573;-0.2685751;3.34663214;0.775627584;-1.146933912;0.047150063;-3.299643371;-0.692547989;0.200337936
EL75507;V;-6.69719225;2.959647314;21.63222;-16.68309464;14.99310725;3.32233769;21.03855983;-6.061349642;9.575236709;-5.204781455;-3.428074582;0.381950647;1.059801087;-2.460930786;-0.746134815;-1.491058085;-5.896864139
EL75508;D;-22.77478291;13.86903263;-4.054600675;-1.147139711;3.32167692;1.821297561;-1.419374766;-5.765949248;-1.336595277;3.002663078;3.403557255;1.085889891;2.438335189;-0.753468323;0.588218143;-0.464406452;0.609226903
EL75508;V;-17.78371888;8.331058869;6.398929056;-12.83386226;11.93996925;3.314870994;12.34293924;-5.654492689;5.276099749;-5.922072175;-3.127182126;8.241070271;1.556256295;-2.327703564;-0.16464915;-0.862877291;-3.527412603
EL75511;D;-25.03088469;15.83822246;-0.198144181;0.331437863;-2.383776083;3.055782335;2.160570448;-7.786473884;-0.11997258;0.439029539;3.254296923;-0.720370082;-1.316897057;0.156927615;-2.269747683;-0.755786531;0.360975315
EL75511;V;-12.33639145;5.538025859;17.08478033;-15.42671097;11.76885774;3.645288939;18.61808605;-7.546845059;9.202221566;-5.866450228;-4.092829825;5.267080774;0.529021036;-2.140698085;-0.522532266;-1.727871647;-5.967118749
