id;view;coord0;coord1;coord2;coord3;coord4;coord5;coord6;coord7;coord8;coord9;coord10;coord11;coord12;coord13;coord14;coord15;coord16;coord17
ACC0129;V;-7.147540448;0.71467858;4.248804787;-6.507656865;-8.259079945;-6.728976695;6.226950478;4.896111441;4.74088427;3.283244538;3.790461277;-0.967363797;-2.485737449;-0.74219106;-0.984930197;3.634262265;0.095677124;-1.449624762
ACC0130;D;-13.89982679;2.554981795;12.99994853;-0.256182181;-5.181581477;-11.13756465;7.360357204;-1.703856807;1.450441447;0.783968015;1.379095877;5.2663374;0.703480809;3.460700309;2.244366069;3.660538782;-0.458966783;-2.480435851
ACC0130;V;-7.336918499;12.1574879;8.302816149;0.431940032;-10.46800224;-17.77575365;12.28432761;-2.229190069;1.783701111;4.297923332;0.123445766;9.581502613;0.251903308;4.48499931;0.221582412;3.892731901;-0.866821699;-4.39985563
ACC0131;D;-10.36745578;-3.940635071;8.265454603;-2.522820296;-4.656037266;-6.717108827;6.271388103;3.355806114;3.462459112;-0.095311608;2.822912938;-0.75878024;-0.226056984;-0.044127375;1.908748432;3.389976669;0.317403114;-0.275248251
ACC0131;V;-2.607643594;5.287520341;6.407455404;-4.895378683;-11.42411417;-14.60717344;10.43613734;2.596955505;4.281032335;4.060908241;3.002228207;5.124661734;-0.507710614;1.802842895;-0.720619132;3.617661612;-0.975330073;-1.42090642
ACC0148;D;-2.305872791;-8.036762367;-2.341356214;-6.583643519;-5.865257112;8.403035321;4.359134725;2.718475782;1.532946725;2.875071921;-3.845281401;3.748149733;0.240627475;-4.925919041;2.33628615;-1.480312503;-1.668987349;-1.344670333
ACC0148;V;4.717576663;-7.580016712;-8.206464339;-9.399322238;-4.76360547;13.99678304;2.212340885;2.85306133;0.752116973;3.77370135;-4.46373802;5.779996761;0.32723189;-7.425022483;1.623844915;-2.334458517;-2.962921358;0.8246423
ACC0151;D;-8.463402303;-6.262811693;-0.636543461;-2.466014367;0.477154415;8.985653279;1.885997887;1.816525099;1.81479314;1.585355802;-5.454233086;5.01299232;-2.108393293;-5.039057335;1.548402085;0.668729821;-2.012092498;0.321858615
ACC0151;V;-3.025284858;-6.241746303;-3.177074188;-6.244978833;-3.589946979;10.6563498;2.316648145;1.192231477;1.562826743;3.148384326;-6.250813893;8.57727273;-0.450885215;-4.567374149;2.665977676;-0.887756633;-2.07246254;-0.287573021
ACC0164;D;-1.857704469;-6.158237823;-4.871737115;2.860282892;-7.493774446;-0.013557436;12.49541048;3.272328873;2.73100064;3.476991962;-2.394413364;0.362316114;-0.307814669;-1.617928596;-1.669772126;0.885574211;-0.727785008;-2.033126535
ACC0164;V;9.168608603;-11.58624894;-8.402588657;9.81791288;-12.34793068;-1.60296978;10.94968291;-1.07544259;3.035249636;4.26312814;-7.017477602;6.245772074;2.763826814;1.335743981;-0.352403065;-0.044969236;-1.616333185;-1.276585968
ACC0166;D;-10.23873693;-9.883347335;-0.661368904;3.830949944;0.91567299;5.169035177;3.493401011;3.487645749;3.493074267;0.125172498;-5.388998043;0.906058204;-0.1132781;-2.316575326;0.980865763;2.435753327;-0.311367597;-2.350048892
ACC0166;V;-1.049431851;-7.000131982;0.663891134;-2.718011645;-8.955804924;5.846766189;4.192806591;1.878678451;2.703875508;4.016258376;-4.694362378;4.530139251;0.978114527;-0.552222438;1.567892548;2.572730429;-0.043189564;-2.488130027
ACC0168;D;-12.85524156;-5.087025704;5.310959093;2.128875771;1.569101385;-6.833473028;8.842685002;2.50741946;2.982624709;-4.232447883;4.651919101;-5.617470751;2.783057616;-4.084151704;1.26258304;0.575323241;0.598140852;2.675287214
ACC0168;V;-11.78015038;-7.639866876;6.464718849;0.755925101;0.791816555;-3.214639018;6.977809938;2.827412342;4.711913867;-3.635183348;3.624490117;-5.430620932;-0.832970688;-2.729185023;2.416922856;2.385097174;0.168564684;1.771915555
ACC0169;D;-15.30230483;-3.240988337;6.744261639;4.351765619;2.909477143;-9.641145998;8.813509155;1.240085357;1.214538382;-6.053628012;6.82166262;-5.373939296;6.049432789;-2.069633866;1.241584611;1.224914376;0.947534881;3.31859202
ACC0169;V;-15.14487339;-6.267874511;6.810999439;3.888110278;3.057967921;-6.319135905;7.088408978;1.336000691;3.259719291;-5.993400129;5.152753124;-5.529272201;2.607259704;-2.15709124;1.998694979;1.61675038;0.374206238;2.064700345
ACC0170;D;-15.77594863;-4.787063128;10.77082837;-0.204459657;2.401400591;-5.122936551;3.808033559;1.382201035;3.177696114;-4.202531397;3.972719388;-3.693133284;-0.339259423;-2.419589019;2.205886665;2.418298716;0.179892782;1.609987401
ACC0170;V;-9.035512205;-4.529263062;7.108285299;-6.811243816;-2.811388344;-2.835369733;1.137008145;3.730298503;6.160705447;0.25930664;3.3253726;-0.371109876;-4.404141622;-2.563978347;1.523484932;1.963846325;-0.482785155;0.836217889
ACC0171;D;-13.86685589;-6.475923827;9.725062539;-1.68491017;1.349557467;-2.37803337;5.044753926;2.826406692;4.109679311;-3.21595913;2.91669188;-4.374088845;-1.581668539;-3.066110951;3.351710522;2.893220155;-0.73106963;1.144743684
ACC0171;V;-9.158318231;-2.754915589;6.195300883;-4.824266033;-3.720996238;-2.99442749;4.061663972;4.139567202;5.950160949;1.21858599;1.368385931;-0.546995659;-4.349932541;-2.574114183;0.961323978;3.751361979;-0.267027352;0.24106903
ACC0180;D;-17.31925618;-6.164987446;5.186244056;6.117863143;5.981082367;-4.352038518;6.877883295;1.327878441;-0.844111187;-7.312445575;3.475270146;-4.285723512;7.282539875;-1.448234208;2.826716274;-0.258054766;-0.214325489;3.592415445
ACC0180;V;-17.03167616;-4.86326606;4.71344687;2.275475464;5.22237427;-3.49878887;4.71405672;2.950854595;0.923462046;-4.419529666;3.444964613;-4.783655694;0.886541527;-2.379977435;0.423190015;1.983442457;-0.714514734;2.816124746
ACC0182;D;-20.60519002;-1.507523524;7.932696742;4.361629057;5.422593381;-8.12171565;7.110388959;0.120154273;-3.964017147;-6.111256468;5.520462966;-2.652365704;6.808195412;1.459351582;2.356211278;1.071514333;-0.361956051;2.47532609
ACC0182;V;-19.38645371;1.139167343;7.30144653;-1.852357901;3.935702701;-4.872535764;3.364814956;1.570727804;-1.216801288;-1.94338301;5.639853953;-3.753770597;-1.357551005;-0.889325976;-0.837812882;2.494843209;-1.055464412;1.788355596
ACC0183;D;-19.03719609;-1.40002185;8.055444656;1.028864958;1.742355982;-5.425432602;5.098644431;0.248135765;-1.286455731;-1.992081773;2.324007249;-1.349033059;0.886457237;-0.401557497;1.151167435;1.635601304;0.331428471;-0.559076602
ACC0183;V;-17.8179226;-2.392524859;8.613037975;-3.834604305;-0.319955293;-1.212603353;0.473073074;2.548581133;1.144832894;0.57038591;2.562155805;-1.485139522;-2.962093307;0.252956906;1.256372444;2.550043874;0.088562173;-0.744709587
