;id;view;meanb;Ant;Post
299;AP0052;V;0.16801826108914106;0.1554804913409545;0.17869462093302269
300;AP0053;D;0.1371249269446511;0.12352378032374527;0.15894879759534516
301;AP0053;V;0.1863007159039201;0.2031450237370322;0.17428207143372415
302;AP0054;D;0.1337178510605937;0.12219703524254484;0.1520165207173169
303;AP0054;V;0.21122443966672333;0.18211817138783704;0.23313395847237833
304;AP0055;D;0.098949524;0.08225992;0.12412565455337293
305;AP0055;V;0.15928543448209442;0.15907329786729443;0.15944356594434267
306;AP0056;D;0.079137275;0.068340157;0.095778794
307;AP0056;V;0.17004975416113116;0.13886115010960629;0.19388593554788036
308;AP0057;D;0.10811690172224638;0.10322726047125678;0.11714974442170883
309;AP0057;V;0.2421029916302318;0.21838389347980444;0.2615748241194878
310;AP0058;D;0.092748903;0.084467677;0.10698751055831737
311;AP0058;V;0.1851654618787817;0.15673693675000863;0.2041786182967372
312;AP0059;D;0.1299308631800648;0.13510616280140597;0.12138700954710892
313;AP0059;V;0.1608218948642126;0.18000634772471039;0.14288941341638403
314;AP0060;D;0.091942259;0.074647139;0.11914409837648032
315;AP0060;V;0.16057198527196356;0.1355232749439762;0.17587843280021792
316;AP0061;D;0.11219365838208074;0.10264087081920217;0.12883562422287023
317;AP0061;V;0.24973201065567063;0.23317972094464176;0.264056625
318;AP0062;D;0.1535908241556767;0.14200903558915726;0.16934936777998763
319;AP0062;V;0.075618561;0.069530411;0.080662584
320;AP0063;D;0.11209152139116517;0.10313248485553676;0.1270958975693914
321;AP0063;V;0.1764195216847006;0.15679324497548014;0.19164126220728533
322;AP0064;D;0.10734547899560488;0.10354115592024386;0.11440259196875904
323;AP0064;V;0.2614459524619731;0.24765736258343937;0.27336770009199435
324;AP0065;D;0.10324170570334251;0.091606629;0.12261201361190027
325;AP0065;V;0.14958904073693266;0.13932513208956662;0.15791317374031216
326;AP0066;D;0.13155906537573572;0.12740265641902074;0.1382598470551074
327;AP0066;V;0.15146585223406045;0.15861021476606493;0.14425091011474123
328;AP0067;D;0.1281459443220538;0.12915019457478366;0.12641631067498407
329;AP0067;V;0.15482544008206023;0.16820473617042697;0.13742318905735598
330;AP0068;D;0.083254528;0.069412736;0.10392139735248872
331;AP0068;V;0.17710235975783642;0.1575691424384551;0.19036299965650813
332;AP0069;D;0.120805682;0.094203501;0.1779149272299239
333;AP0069;V;0.142680408;0.1296846514329432;0.15757383822411455
334;AP006;D;0.13701532205793485;0.13035090446710657;0.15487792789210209
335;AP0070;D;0.21237171999407692;0.18213268309248012;0.2740936012176951
336;AP0070;V;0.2991915764522389;0.2542399477774012;0.3458275300430401
337;AP0071;D;0.1417823283195609;0.14580334863664804;0.13068951533238363
338;AP0071;V;0.3039350525515375;0.31026698725577606;0.2967389543502514
339;AP0072;D;0.15107133055538718;0.13212777203603582;0.19768748028126337
340;AP0072;V;0.17427502429730599;0.14707295966712167;0.20245144331598378
