id;view;coord0;coord1;coord2;coord3;coord4;coord5;coord6;coord7;coord8;coord9;coord10;coord11;coord12;coord13;coord14;coord15;coord16;coord17
ACC0102;V;-13.52848539;5.361906996;1.83428905;3.855571294;-2.696258561;-6.978728069;-3.844625509;4.489525374;2.22082363;2.361623381;1.812388896;4.850389061;-0.379076712;-2.045975985;-0.784652218;0.552032146;0.026804406;-2.725746426
ACC0112;D;-9.858200168;-8.736964729;0.966113215;9.320258118;0.838136683;-5.462095107;-6.956870846;6.476591715;3.374273298;2.643670306;-2.007988984;-3.167705482;1.740610472;2.979295794;-0.222196401;-0.707730135;-1.610280075;-1.055262152
ACC0112;V;-1.579602456;-6.872675711;3.91945119;2.453371284;-9.244211566;-9.137124678;-7.773226095;7.861616008;3.417296365;6.044654204;2.199371264;0.576968516;-0.761850172;-0.577561567;0.194066484;-2.234790379;0.017497097;-1.913449667
ACC0115;D;-8.67551009;-9.975558362;5.673676242;4.301448367;-1.749662363;-6.210801687;-5.490006778;5.380175417;2.188937478;4.700821866;-2.225388782;-1.707064616;-0.862084679;2.294365528;0.439493919;-3.965121772;-0.250360025;-2.7301844
ACC0115;V;-1.868057358;-12.53314314;3.930252554;4.788322814;-5.976531794;-11.10828985;-4.405686093;5.765543289;2.861253067;7.807732684;-0.70989759;1.615037006;0.929403493;-2.700488531;-1.080093974;-3.027952254;1.019104953;-3.314927292
ACC0117;D;-5.978840445;-0.997229348;6.486498112;5.790479813;-7.887467117;-13.747641;-7.980312651;6.334343291;2.761191068;5.741272462;0.910938402;8.320986245;1.682688676;-2.982251823;1.583793112;-1.707487631;0.00842412;-3.759377279
ACC0117;V;7.380395733;8.695670904;-0.200279591;9.032789256;-11.62374882;-25.37331717;-10.97646255;8.088995758;4.932068072;8.04923216;4.177264003;16.5566984;1.639786095;-8.362787891;-0.123762787;2.71158357;1.727948574;-4.522041092
ACC0119;D;-4.255147695;-5.698025635;3.752618734;7.459585223;-5.25858475;-8.524267075;-13.58258398;5.423837088;4.616676169;4.247318282;0.525713184;1.12859394;0.299355953;2.201071698;0.352407682;-2.070894395;-1.089475241;-0.587460671
ACC0119;V;0.705769091;3.520901244;0.389055643;7.493286579;-11.92387028;-17.24757182;-10.83997346;6.752095485;3.838599073;6.948019012;3.76276046;7.102293428;1.538201075;-3.032690465;-0.593465185;0.717479981;-0.63951626;-2.325860603
ACC0128;D;-13.74866084;-3.617442222;3.737647443;7.045324692;2.310679002;-6.479816328;-8.007236515;4.02705819;4.814872692;1.422183311;-1.258373604;-2.410201002;1.196658816;3.548067657;0.192178904;-0.862879455;-1.021688062;-1.456290305
ACC0128;V;-9.098753029;0.081260615;1.941912882;1.899019483;-5.378565107;-9.4379272;-6.264684513;6.37646176;4.382885705;4.649811834;2.178021094;-1.023006901;-1.411496615;1.238646482;-1.097359836;-0.342528459;-0.58646361;-1.914608327
ACC0129;D;-15.66418806;-3.929153533;6.580852456;6.950777934;2.421504973;-7.458858449;-7.306856743;3.457661499;6.320691178;1.682829417;-2.005383062;-2.738328665;3.655765832;3.136578512;1.562801909;-0.942556012;-1.269075927;-0.681337941
ACC0129;V;-8.66130347;-1.282286794;3.529534204;-0.764202694;-7.168704491;-6.529336297;-3.70649516;7.783742454;1.752136082;4.495248623;2.697462748;-0.21602765;-2.983239195;0.140929431;-0.184588798;-0.84439954;-0.122890535;-1.762891718
ACC0130;D;-15.30927076;4.221026224;11.27915095;5.408593463;-2.826377025;-10.62304335;-7.307993649;1.670977274;1.859209241;2.665616272;-1.002913504;6.776524902;2.017392;-1.300460845;3.41826412;-1.250018472;-1.46966803;-2.293792582
ACC0130;V;-9.651244394;13.50585828;5.491005334;9.411966146;-8.11295623;-20.11242487;-11.49019991;2.098965811;2.001552868;6.923667005;0.624217168;11.72574167;1.498698832;-3.440991516;1.728743748;1.685209584;-1.94356984;-2.691968871
ACC0131;D;-12.0885636;-2.802838108;8.912674322;1.586180425;-3.718397132;-7.15664884;-3.812121742;5.254187752;3.462406271;3.525435825;-0.210159217;0.012424076;-0.15152536;1.594796804;2.743172045;-4.311498041;-1.238084481;-2.568452261
ACC0131;V;-6.127222579;3.53052019;5.593311389;2.984044148;-8.29909902;-14.95444922;-7.825467483;6.596903581;3.98142922;6.081084928;2.183925745;5.177328116;0.350410941;-0.731712135;0.395689152;-1.978508507;-1.433625713;-2.766193952
ACC0148;D;0.039497565;-9.930730948;-4.415406292;-5.141396933;-6.820046469;5.847829933;-6.113083967;4.677658639;-2.827921672;-0.333533705;2.645931701;5.246260985;-0.373708056;3.422293005;-1.436484772;1.508614309;0.679546578;0.079830862
ACC0148;V;8.466678954;-10.30200287;-12.49691162;-10.11254489;-3.858165895;12.44013988;-5.060137544;3.147635822;-3.719961107;-1.975088457;2.355109544;8.131443272;-0.324140192;7.376203336;-3.696120017;-0.156464584;-2.035820447;1.342260611
ACC0151;D;-5.676487871;-8.189060308;-3.308700976;-4.811298843;-0.764309293;9.97880957;-3.245628713;3.914721366;-4.73337069;-0.864032011;-0.29826288;8.804104921;-2.700415465;3.736370206;-0.850174338;-1.918738018;0.728714121;-2.370299776
ACC0151;V;-0.596715679;-8.014617004;-6.943970189;-6.695637975;-2.995433382;11.94489539;-4.244950078;3.542439508;-6.099004786;-1.523054969;1.166299653;9.309367174;-2.107624186;4.791466345;-2.212305655;-1.559420608;-0.046154622;-0.797158626
ACC0164;D;0.340409924;-7.466086933;-6.935273485;11.57821494;-6.30785874;-3.239860936;-12.09637541;8.696644517;-2.843727486;1.57887042;2.328157241;4.38465355;-0.457072767;-1.141497072;-0.814896204;5.452419981;0.848990323;-1.981232062
ACC0164;V;10.93543936;-11.39215991;-10.33040141;15.9451599;-8.304387568;-3.227181915;-12.54292619;4.740410779;-5.935956105;0.992959402;1.724970557;8.357911757;0.900703675;-2.550142869;-1.601170764;5.451955537;-0.062405422;-0.179404231
ACC0166;D;-9.595833359;-9.041521148;-1.810472758;5.225051416;0.536608785;4.372663186;-4.923191757;6.840769308;-3.647257895;-0.984795322;-1.173121907;2.683481161;-1.077549268;2.262125891;0.5200092;1.894410327;0.804083145;-2.820541819
ACC0166;V;-0.478850396;-6.315747968;0.898284459;0.013222269;-11.39624185;3.807585556;-8.492906007;4.534894961;-4.980969374;0.731569633;2.018116962;7.50975901;0.340525715;-0.146503794;0.855688595;1.142966196;0.157068599;-0.790867229
ACC0168;D;-14.86373501;-3.760168885;5.940271746;6.42977756;4.128154363;-5.430640494;-7.136121616;2.788832216;4.512681773;1.36471806;-3.034265535;-5.081954596;0.83004042;5.859514802;0.454941849;-3.836801288;-1.512515444;-0.565649873
ACC0168;V;-12.88931981;-5.727636103;9.238503211;0.469633355;1.282663661;-0.822210383;-3.527865155;4.425963964;2.616284543;2.32888623;-2.655912106;-5.581935453;-4.7698823;4.805986238;3.030597335;-5.278022951;-0.562416065;-0.734267304
ACC0169;D;-16.34157591;-1.903670912;7.044435793;7.597347158;4.348897262;-8.266079961;-6.9446563;1.168427947;6.591513398;2.059953028;-3.180142624;-4.539946585;3.403973679;4.82900459;0.693895361;-2.78320976;-2.266859227;0.266745247
ACC0169;V;-15.47251066;-4.634173565;8.208333192;6.633305987;3.327266741;-6.169389642;-5.614670768;1.858014454;4.652404824;2.439738135;-4.211441194;-3.426495227;1.957703292;4.217716354;1.640467146;-3.592307896;-1.915301119;-0.209343119
ACC0170;D;-16.01760815;-2.820694455;12.68669654;1.935162964;1.667777302;-5.004355501;-2.699902047;1.309338699;3.805573645;2.303149826;-3.14989997;-2.511650635;-0.802180654;4.087821598;3.38079938;-7.178068898;-2.231758262;-0.588764653
ACC0170;V;-8.358185073;-4.218298034;7.543260149;-6.127977513;-5.394250601;-3.225870144;0.473406676;5.270495318;2.188931495;5.069357729;0.523442472;-0.063233405;-4.37601952;2.264245519;0.921806223;-6.942309435;-0.927467171;-1.453950504
ACC0171;D;-14.87290194;-4.324352287;11.07282488;1.350251098;1.194342597;-3.158551617;-4.247873353;3.45680358;3.214120674;1.956662426;-2.082300073;-2.938708804;-2.439465646;3.638875049;3.552859792;-5.650603938;-0.522330086;-1.827701497
ACC0171;V;-10.26946125;-1.914301005;7.628640148;-2.254574743;-4.158249193;-3.974827259;-3.499974883;5.817229518;1.329814308;3.94619482;0.413317197;-0.129815506;-5.27567403;1.76955036;1.906822631;-5.587243447;-0.270208645;-3.115392123
ACC0180;D;-19.16169687;-2.732088032;7.508296152;6.24375543;7.580366419;-3.580997338;-5.182846514;1.068042802;6.79926695;-1.295025345;-3.380516086;-4.550839647;4.790286189;4.862011608;2.219733577;-1.426041002;-1.632407882;0.903500051
ACC0180;V;-18.114549;-3.082994222;8.344516226;2.074317411;4.436787864;-2.990949357;-3.270239598;2.039695485;5.781585345;0.85892954;-1.766253573;-4.785654138;-0.646636034;3.685626866;1.750111185;-2.790637685;-0.706514764;0.224939193
ACC0182;D;-22.64153864;2.789106611;7.712975818;5.841946622;8.285511792;-7.488144811;-4.871291761;-2.221389526;9.757644625;-1.296115671;-1.125021629;-4.437753744;5.786381271;1.308599553;0.69883543;0.791757986;-1.195220475;2.934540308
ACC0182;V;-20.34593359;2.922336867;8.731421735;-1.387735934;2.937382033;-5.032494157;-1.378505864;0.149348613;5.787773703;0.971974754;0.814627027;-2.39502354;-2.226358638;0.60732671;0.340804629;-1.892909198;-0.469285755;0.33998969
ACC0183;D;-20.86048795;-0.143098015;9.502615091;0.981316229;3.051610681;-3.834262587;-2.283941346;0.175753855;3.93012332;-0.424986385;-0.733068242;-1.435817452;-0.336814255;1.794531606;1.541310955;-1.622679702;-0.264965859;0.156920643
ACC0183;V;-18.43848788;-0.403397593;9.234398061;-3.202105777;-1.989169767;-2.532033942;0.268962642;2.342143136;3.017852698;1.821329101;1.517470249;-1.229969935;-2.895040776;-0.381902316;1.70115176;-1.500657432;0.363604259;-0.529706884
ACC0184;D;-16.74988407;-4.759171214;6.244353868;9.243679718;6.184677086;-4.723491561;-7.195899967;1.336392444;5.135826374;-0.54062715;-4.66194924;-3.191361436;4.815434685;5.53139538;1.601290462;-1.941246431;-2.686537699;0.084708212
ACC0184;V;-8.213202758;4.10244921;-6.353588805;1.032112277;0.120056839;-8.579518889;-8.079817133;6.247283929;6.31624796;4.098823094;2.538906085;-1.986055958;-3.554868002;4.267977588;-4.841560098;-0.842668414;-1.203517259;-1.065566816
ACC0185;D;-21.65364735;0.984582567;10.94373204;2.340473609;5.769200791;-4.91537434;-1.476446324;-2.301512793;6.139269445;-0.697420008;-1.778514835;-4.483503228;1.07674194;3.060065073;1.6945547;-2.893092273;-1.692420089;1.391274527
