id;view;coord0;coord1;coord2;coord3;coord4;coord5;coord6;coord7;coord8;coord9;coord10;coord11;coord12;coord13;coord14;coord15;coord16;coord17;coord18;coord19
EL72418;D;-11.26314911;2.580630959;-9.481022951;1.044815492;-9.566725757;-17.30666231;-4.613787108;7.257716198;-4.085663104;5.058068291;2.040626207;2.103903751;-7.585416195;0.31085948;-0.871061976;-0.894096007;-3.803246506;1.769847675;5.572377376;-1.840821657
EL72418;V;-6.590443435;13.00258216;-9.28680908;7.527937616;-12.27544675;-21.64192575;-3.983675213;9.388367334;-5.411873845;7.557423731;5.593385955;5.787378219;-3.671908725;1.746652127;-1.072231086;-1.516350284;-4.454997589;4.38518346;4.323363467;0.222635413
EL72444;D;-24.51235682;7.304832697;15.0013565;-0.120686326;-1.95254521;-2.241288592;-5.010710258;-3.826884035;2.404045443;6.60092585;1.226361821;-2.154930442;3.890589415;-2.967778148;3.893790108;1.057023861;-0.588285486;-1.223449193;-1.456315684;0.627870365
EL72444;V;-13.60980237;8.84690511;-1.820239522;4.717418386;-4.63571833;-20.49176899;-1.576562895;5.945674408;3.558402546;1.905700332;4.805116867;3.999225779;-2.554843154;2.420873692;-2.410991149;-0.753191035;-7.087241844;2.380107196;2.270876427;0.531588876
EL72446;D;-17.44553887;5.824860327;-1.920756795;3.814284541;-10.48157803;-12.90594654;-5.072623279;3.959173051;-1.80505039;5.405262256;1.015082882;-2.15179334;-5.199864738;-0.126322771;1.952938269;-3.502978671;-3.245782158;0.984724633;3.650095404;-1.960335754
EL72446;V;0.921079835;4.178973309;-15.49905908;11.31749563;-15.57709667;-24.64694282;6.743124565;9.105002647;-3.138161693;3.547025919;3.505668017;-3.69057289;-6.214908591;0.376095146;-1.166027912;-7.433776745;0.405823511;8.012529422;1.623251903;-2.305872834
EL72487;D;-23.79720613;5.284578938;12.78086654;0.405270414;0.166447792;-6.135635162;1.747282727;-4.209467989;5.99382971;1.640316955;1.13058648;-1.74619883;1.774789768;3.139339719;1.74818406;1.133918044;-2.357617337;-0.109569497;-0.252913631;-0.606178077
EL72487;V;12.97810941;3.11919859;-20.07980094;23.65509233;-7.396185261;-19.3537187;14.77717225;-3.188852988;7.957294559;-4.269420528;-1.080709787;4.50116848;-4.272102369;3.05155769;1.564464185;-3.533249267;-2.929969005;0.88740502;-6.986839;-7.03657771
EL72488;D;-23.47291589;4.349486887;15.08103462;-0.032320656;-1.158432493;-2.386654973;-3.948201321;-2.122043197;2.868040065;4.889820105;-0.210620426;-2.020680679;4.20962436;-1.051266098;2.262986656;0.469795567;-0.549248149;-0.92428947;-1.171780686;0.290398083
EL72488;V;-5.630651901;-8.318469144;-2.740617221;9.083485251;-6.372644724;-22.15346624;9.286094974;6.223046902;4.27112672;-4.19441295;-1.494965265;-0.605380793;-4.056624176;5.494157983;-0.874693993;-5.474812221;-3.994486016;5.974671011;2.602024384;-0.966505854
EL72490;D;-24.1688219;5.410900296;15.51544173;-0.831949043;-1.020410852;-3.602004706;-3.687201935;-2.614969127;3.79835183;5.520867251;0.865435992;-2.14399904;4.354063347;-0.198204647;2.746047249;1.906360056;-1.065118713;-1.269090959;-0.880445607;1.00051205
EL72490;V;-5.415751832;-3.340317481;-4.320179766;11.46393971;-8.889131829;-23.48899877;9.072474185;7.976977409;2.097330808;-1.114401174;0.60573284;0.035318557;-4.334397221;5.368717346;-2.199026144;-6.609522321;-4.233201278;6.414508718;2.990865871;-2.04699187
EL72509;D;-18.79754112;-5.192512791;9.031476196;1.166433899;-0.791933255;4.574710791;-1.895482754;-0.019275235;-2.014592174;-0.462921954;-4.049106298;0.170738988;2.725613928;-2.106137605;-2.079913165;-2.331803709;1.993834878;1.293486884;-0.935149578;-1.685847629
EL72509;V;6.674494509;-24.0183523;-5.253612908;7.808732088;-7.160852079;-7.388559123;2.1518831;4.269154211;-2.661221446;-7.089729646;1.010477497;-3.318391009;0.307978456;-2.714194539;-1.367732879;-5.385544248;1.074428309;2.100880059;-1.034834843;3.776274596
EL72573;D;-16.17431622;-6.237009618;6.769454081;2.902418936;-1.711405238;8.726304762;3.447531607;-2.588790458;-2.36437574;-2.4537798;-4.849593784;-1.631553398;0.976640007;2.696142049;-0.046649023;0.25644261;3.020494603;0.876214568;0.246492215;-3.515340169
EL72573;V;2.660477901;-13.14159815;-5.725582662;16.22768699;-12.98194379;10.46556721;7.982150646;-3.855239365;-7.65536026;1.656003006;-3.789405956;-5.747167684;-5.365430551;-1.264387624;-0.08182351;-4.803479399;7.309545678;0.988641358;-2.309643026;0.55757111
EL72575;D;-1.236605041;6.194575144;-20.97207622;-2.955927936;3.779913907;17.23839599;8.922342779;-4.906264776;3.583918326;-10.03824213;-3.730863747;-0.114648104;-8.073647616;-8.543081556;0.898011526;-1.400443788;0.013983193;-1.848585861;-3.356240654;-0.950440246
EL72575;V;16.38599902;19.82746193;-25.49985354;1.025629283;-3.808193176;18.70407939;3.823657823;-13.62558799;2.353736531;-1.36632491;-12.58571399;-11.40464466;1.909324802;5.902566396;14.37180436;-3.239432666;-5.817077522;-4.546611443;-0.179698577;2.017150506
EL72583;D;-9.475941318;16.52324494;-10.36198915;-13.58108294;11.96654149;12.65254606;20.0356086;-6.812668336;13.29168045;-10.64461142;3.614280119;0.071345635;-6.636422661;-7.552603653;-3.716710475;-1.190500162;-3.659844519;6.266610319;1.558011517;4.617152221
EL72583;V;1.560637807;20.58772278;-18.32820884;-10.16149154;6.867535936;6.425326297;16.02789853;-9.522317901;9.016572003;-7.442422397;-7.15269144;-6.389498075;2.892944775;5.771895359;9.437152326;-7.43286943;-10.59947349;5.00475454;6.363605149;3.235056842
EL72586;D;-23.59091244;8.402762452;11.36615259;-5.046183255;4.586624319;2.898332008;1.860226622;-2.665156518;5.72537802;2.093757174;4.467158318;-1.170422574;1.13747726;-4.84533189;-1.368154139;2.516025557;2.579455921;-0.536587053;-3.794430034;3.081418368
EL72586;V;-6.356756762;15.31993857;-14.93096978;-11.54467863;7.324131049;12.98220093;14.16529762;-8.946806237;10.6386083;-7.768070305;-3.238833341;-3.765394084;-5.931392021;-5.162208189;5.151076651;-5.805441981;-7.007876703;4.874109541;4.945352343;3.571227758
EL725886;V;-6.361599318;15.32917622;-14.91587875;-11.55757;7.351220574;12.96842999;14.1675681;-8.950528126;10.64541908;-7.751866472;-3.236167177;-3.763033131;-5.92849331;-5.167062085;5.153558462;-5.807939759;-7.006392519;4.874337165;4.953356038;3.573600063
EL72599;D;-13.04837865;23.29558422;-12.75765627;-6.870300171;5.460271025;8.679719424;2.031442373;-3.102571975;8.87592144;-7.522967828;7.182603398;3.192898898;-2.200304492;-3.912545056;1.909002788;-0.937292868;1.160308823;2.827536708;-1.865522662;3.555124774
EL72599;V;6.922527656;32.699255;-26.46994074;-10.18640697;8.485221734;6.185072335;-0.237423372;-1.320210945;-0.187054823;-4.376050327;-0.440874628;-0.872928819;9.702784762;8.664367649;6.139241784;-2.24214546;1.431957326;0.612394457;0.532432967;2.425323496
EL72600;D;-10.62628367;22.56938654;-17.45316247;-4.678702891;0.53171955;4.438195298;-5.916339232;0.706160322;3.148605471;-4.614104026;6.584316831;2.93117791;-1.160657038;-3.29645253;1.935670951;-0.541846705;1.358883422;-0.68461425;-2.080043555;0.397786766
EL72600;V;4.289516238;28.95330533;-27.34808581;-5.269618937;2.226021205;5.636544976;-6.577787481;0.094830447;-3.443228442;-2.777986413;-0.247247438;0.538422914;7.669379119;8.538878011;6.175413966;-1.987784423;2.320942437;0.124998535;1.841208596;0.048261178
