id;view;meanb;Ant;Post
EL72620;V;0.093119892;0.10159044;0.085149379
EL72621;D;0.119408272;0.120128948;0.118275813
EL72621;V;0.172363423;0.214146907;0.133262891
EL72654;D;0.074332561;0.064018343;0.089567457
EL72654;V;0.101023936;0.099737373;0.102164056
EL72659;D;0.196767038;0.200951682;0.190487213
EL72659;V;0.255129479;0.305675674;0.204051709
EL72661;D;0.257285434;0.260391954;0.252331344
EL72661;V;0.322737493;0.364673053;0.284400227
EL72664;D;0.073721245;0.06768457;0.082786871
EL72667;D;0.070009371;0.069252167;0.071078279
EL72667;V;0.103043748;0.101703537;0.104241031
EL72668;D;0.14445053;0.157218069;0.126257003
EL72668;V;0.234943157;0.26775311;0.203545155
EL72703;D;0.08611346;0.083558736;0.0894083
EL72703;V;0.1865991;0.145573418;0.219974101
EL72709;D;0.093458353;0.094985672;0.091598549
EL72709;V;0.157810447;0.119444136;0.189987198
EL72712;D;0.102353284;0.10561785;0.098206053
EL72712;V;0.194238747;0.155305741;0.227195025
EL72716;D;0.087924451;0.079164065;0.098776172
EL72716;V;0.191553156;0.144776918;0.228543581
EL72718;D;0.093528483;0.082563957;0.109663146
EL72718;V;0.124167868;0.11455407;0.133451141
EL72719;D;0.091148249;0.084528187;0.100525352
EL72719;V;0.103843752;0.101072692;0.106665131
EL72720;D;0.080044007;0.072314919;0.09011461
EL72720;V;0.103572404;0.100226264;0.106777924
EL72723;D;0.138038024;0.115530416;0.171683085
EL72723;V;0.167200081;0.15481298;0.179625333
EL72738;D;0.093007623;0.086456941;0.102351238
EL72738;V;0.141765397;0.148755019;0.134256564
EL72747;D;0.084850713;0.081186706;0.08974043
EL72747;V;0.111680079;0.126584988;0.097771475
EL75301;D;0.121697932;0.116462377;0.132022856
EL75301;V;0.235161545;0.200950831;0.272080996
EL75302;D;0.113089163;0.103690309;0.132790737
EL75302;V;0.219093572;0.208322921;0.232712859
EL75326;D;0.115251018;0.104871748;0.134253761
EL75326;V;0.316137915;0.275647825;0.361792204
EL75327;D;0.144185159;0.115895734;0.191394493
EL75327;V;0.338926686;0.342523936;0.334829031
EL75328;D;0.115100869;0.113580411;0.117870808
EL75328;V;0.32946963;0.253997031;0.414342185
EL75334;D;0.08865434;0.077754831;0.108827363
EL75334;V;0.209620718;0.187801148;0.232507755
EL75335;D;0.094511886;0.088606224;0.104505513
EL75335;V;0.23129445;0.211544686;0.253204944
EL75337;D;0.102786973;0.096664336;0.113720307
EL75337;V;0.220784942;0.211151971;0.230914615
EL75346;D;0.113680512;0.101590594;0.138837698
EL75346;V;0.224915651;0.194037442;0.262396814
EL75347D (1;);;;
EL75347;D;0.104434423;0.100659181;0.112169728
EL75347;V;0.216888349;0.198076633;0.239765363
EL75348;D;0.130596868;0.123163649;0.142312008
EL75348;V;0.26118504;0.228558485;0.294518649
EL75353;D;0.213076041;0.182132683;0.266806164
EL75353;V;0.299766965;0.26035819;0.34582753
EL75354;D;0.115767112;0.120282708;0.105749998
EL75355;D;0.178647104;0.16680685;0.199209871
EL75355;V;0.253470569;0.238907421;0.267530477
EL75357;D;0.110625114;0.110668926;0.110547448
EL75357;V;0.242950207;0.234001635;0.253869998
EL75358;D;0.092739866;0.085677675;0.104810972
EL75358;V;0.126281777;0.124423145;0.128374258
EL75359;D;0.098721206;0.09454524;0.106503016
EL75359;V;0.161903351;0.149603881;0.176068857
EL75360;D;0.117663431;0.099470355;0.150656314
EL75360;V;0.17067184;0.134453051;0.212357995
EL75361;D;0.104602086;0.091512367;0.129421242
EL75361;V;0.181626547;0.144600878;0.221501287
EL75362;D;0.160183831;0.169516805;0.14252358
EL75362;V;0.259947892;0.231261012;0.293096641
EL75364;V;0.278531594;0.317019301;0.229377234
EL75365;D;0.125618202;0.129048087;0.117983052
EL75365;V;0.282324223;0.321136032;0.234241964
EL75366;D;0.142931836;0.157948567;0.108876161
EL75366;V;0.239261073;0.258124425;0.215310637
EL75368;D;0.287028978;0.316901713;0.234612667
EL75368;V;0.453211589;0.484993797;0.423546616
EL75380;D;0.274768303;0.303227584;0.232668112
EL75388;D;0.287028978;0.316901713;0.234612667
EL75388;V;0.453211589;0.484993797;0.423546616
EL75390;D;0.274768303;0.303227584;0.232668112
EL75390;V;0.375896412;0.416951336;0.340472686
EL75402;D;0.183880887;0.209728412;0.146513067
EL75402;V;0.258773338;0.337142205;0.189753633
EL75424;D;0.151293769;0.130630081;0.180834677
EL75424;V;0.283509292;0.294590672;0.274689644
EL75426;D;0.165960997;0.171097917;0.158005208
EL75426;V;0.305116909;0.322286175;0.288950731
EL75428;D;0.207963581;0.193823263;0.228277121
EL75428;V;0.353858015;0.320581999;0.381793853
EL75429;D;0.177467308;0.16343244;0.199657355
EL75429;V;0.307604663;0.273208335;0.338144019
EL75430;D;0.144877337;0.143743546;0.146507695
EL75430;V;0.230458475;0.214874845;0.243052132
EL75507;D;0.114535851;0.12402231;0.101916679
EL75507;V;0.181036472;0.233522698;0.132225415
EL75508;D;0.09587061;0.091706859;0.10151889
EL75508;V;0.149179546;0.179884044;0.119771878
EL75511;D;0.120808056;0.121400795;0.120078129
EL75511;V;0.156425009;0.188787196;0.128550733
