;id;view;meanb;Ant;Post
592;EL75618;D;0.117547944;0.111770952;0.128689922
593;EL75618;V;0.191306203;0.253206762;0.156345887
594;EL75619;D;0.106638372;0.10062485;0.117085802
595;EL75619;V;0.15708678;0.201036545;0.124953715
596;EL75620;V;0.168889926;0.199998571;0.149208153
597;EL75621;D;0.095945951;0.095250242;0.097096588
598;EL75621;V;0.161675012;0.194713035;0.142191021
599;EL75639;D;0.12422912;0.115605533;0.141692081
600;EL75639;V;0.241492033;0.228402645;0.250211129
601;EL75640;D;0.115501916;0.104729409;0.136808953
602;EL75640;V;0.21695081;0.208303359;0.222627871
603;EL75641;D;0.139504204;0.127038772;0.161895463
604;EL75641;V;0.217144333;0.198941673;0.230996972
605;EL7565;D;0.094800516;0.090925678;0.100629723
606;EL75662;D;0.081093524;0.066539092;0.109839849
607;EL75662;V;0.135108467;0.124610699;0.142034307
608;EL75664;D;0.105027338;0.099368205;0.11756392
609;EL75664;V;0.161520614;0.166145002;0.158301
610;EL75675;D;0.082653724;0.068466167;0.107994201
611;EL75675;V;0.177966819;0.147384317;0.197241445
612;EL75676;D;0.094445377;0.07212922;0.130956304
613;EL75676;V;0.168730792;0.131989123;0.187974074
614;EL75677;D;0.086954139;0.077159163;0.102776439
615;EL75677;V;0.174168632;0.163201275;0.180518253
616;EL75678;D;0.103992303;0.087977082;0.133132664
617;EL75678;V;0.207205295;0.198373839;0.212858356
618;EL75680;D;0.13768482;0.126261782;0.156999375
619;EL75680;V;0.233312832;0.212498183;0.244390284
620;EL75681;D;0.142598104;0.139919709;0.146805068
621;EL75681;V;0.23187914;0.247875039;0.223267171
622;EL75682;D;0.136628061;0.12742523;0.15179686
623;EL75682;V;0.229490808;0.21989198;0.235269261
624;EL75684;D;0.084268867;0.059343391;0.123855319
625;EL75684;V;0.152465045;0.116155245;0.171762463
626;EL75722;D;0.167066396;0.15142581;0.214775329
627;EL75722;V;0.223821441;0.222780546;0.224463767
628;EL75723;D;0.113312126;0.093132692;0.180033064
629;EL75723;V;0.154232688;0.15003635;0.157537144
630;EL75729;D;0.259732759;0.220588669;0.362596965
631;EL75729;V;0.162929113;0.180131834;0.146987152
632;EL7573;0;;;
633;EL75730;D;0.080339803;0.067040831;0.128142985
634;EL75730;V;0.128791155;0.110108198;0.143659934
635;EL75731;D;0.151151141;0.147360949;0.163011
636;EL75731;V;0.163920645;0.138115652;0.18389754
637;EL75735;D;0.100268073;0.08786314;0.12181702
638;EL75735;V;0.176161159;0.166924023;0.182250217
639;EL75736;D;0.104020403;0.094057094;0.122005437
640;EL75736;V;0.17524795;0.174329944;0.17593904
641;EL75737;D;0.114153753;0.107585303;0.127716151
642;EL75737;V;0.17423229;0.157333155;0.186726031
643;EL75738;D;0.094378983;0.085793174;0.109883783
644;EL75738;V;0.149814301;0.131409373;0.162705134
645;EL75739;D;0.142218221;0.120372313;0.188481273
646;EL75739;V;0.198223129;0.191151748;0.202734287
647;EL75740;D;0.115075479;0.106179284;0.133810133
648;EL75740;V;0.186573743;0.165026295;0.199206418
649;EL75741;D;0.121182217;0.113299511;0.138231928
650;EL75741;V;0.179288629;0.166873386;0.187698945
651;EL75748;D;0.111937198;0.093111886;0.158220258
652;EL75748;V;0.180816418;0.181142414;0.180547875
653;EL781;V;0.130457754;0.131169105;0.130157822
654;ELEL43178;V;0.169102455;0.179738727;0.162591451
